evaluation_index,split
0,train
1,train
2,train
3,train
4,train
5,validation
6,validation
7,train
8,train
9,train
10,test
11,train
12,test
13,train
14,train
15,validation
16,train
17,train
18,test
19,train
20,train
21,test
22,train
23,train
24,train
25,train
26,train
27,validation
28,train
29,train
30,train
31,validation
32,train
33,test
34,train
35,test
36,train
37,train
38,test
39,train
40,train
41,train
42,validation
43,train
44,validation
45,validation
46,train
47,validation
48,train
49,validation
50,test
51,train
52,train
53,validation
54,test
55,test
56,train
57,train
58,train
59,train
60,train
61,train
62,test
63,validation
64,train
65,train
66,test
67,train
68,train
69,train
70,validation
71,train
72,train
73,train
74,train
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,validation
88,train
89,validation
90,train
91,validation
92,train
93,train
94,train
95,train
96,validation
97,validation
98,test
99,train
100,train
101,train
102,train
103,test
104,train
105,train
106,train
107,test
108,train
109,test
110,test
111,test
112,test
113,train
114,test
115,validation
116,test
117,train
118,train
119,test
120,validation
121,validation
122,test
123,train
124,validation
125,train
126,train
127,test
128,test
129,validation
130,validation
131,train
132,validation
133,train
134,validation
135,train
136,test
137,train
138,test
139,validation
140,train
141,train
142,validation
143,test
144,train
145,test
146,test
147,train
148,validation
149,train
150,validation
151,validation
152,train
153,train
154,test
155,train
156,train
157,train
158,train
159,test
160,train
161,test
162,train
163,train
164,test
165,validation
166,train
167,train
168,train
169,train
170,train
171,train
172,train
173,validation
174,test
175,train
176,train
177,train
178,validation
179,validation
180,train
181,train
182,train
183,train
184,validation
185,train
186,train
187,validation
188,test
189,train
190,train
191,validation
192,train
193,test
194,train
195,test
196,train
197,test
198,test
199,validation
200,train
201,test
202,train
203,train
204,train
205,train
206,train
207,validation
208,train
209,train
210,train
211,train
212,train
213,validation
214,train
215,train
216,train
217,train
218,test
219,test
220,train
221,train
222,validation
223,train
224,train
225,validation
226,validation
227,test
228,test
229,train
230,train
231,train
232,train
233,test
234,train
235,train
236,train
237,train
238,validation
239,train
240,validation
241,train
242,train
243,train
244,train
245,train
246,validation
247,train
248,train
249,test
250,test
251,test
252,train
253,train
254,test
255,train
256,validation
257,train
258,train
259,test
260,validation
261,train
262,train
263,train
264,train
265,train
266,validation
267,train
268,test
269,train
270,validation
271,validation
272,train
273,train
274,validation
275,test
276,validation
277,train
278,test
279,test
280,train
281,train
282,train
283,validation
284,test
285,train
286,train
287,train
288,validation
289,train
290,train
291,train
292,train
293,validation
294,train
295,test
296,validation
297,test
298,train
299,train
300,train
301,validation
302,test
303,train
304,validation
305,validation
306,train
307,train
308,test
309,train
310,train
311,train
312,test
313,validation
314,train
315,test
316,train
317,train
318,test
319,test
320,test
321,validation
322,train
323,validation
324,train
325,train
326,validation
327,validation
328,train
329,train
