order_type,channel,channel_family,count
mandatory,flyer,official_physical,1
mandatory,internet_website,web,33
mandatory,other,other,20
mandatory,public_official,official_physical,63
mandatory,radio,media,16
mandatory,reverse_911,official_push,80
mandatory,smartphone_app,official_push,26
mandatory,social_media,social_media,32
mandatory,someone_told_me,interpersonal,77
mandatory,subscribed_alert,official_push,24
mandatory,television,media,43
mandatory,text_message,official_push,81
recommended,flyer,official_physical,1
recommended,internet_website,web,19
recommended,other,other,5
recommended,public_official,official_physical,15
recommended,radio,media,7
recommended,reverse_911,official_push,18
recommended,smartphone_app,official_push,8
recommended,social_media,social_media,21
recommended,someone_told_me,interpersonal,31
recommended,subscribed_alert,official_push,6
recommended,television,media,28
recommended,text_message,official_push,26
shelter_in_place,flyer,official_physical,1
shelter_in_place,internet_website,web,2
shelter_in_place,radio,media,4
shelter_in_place,reverse_911,official_push,2
shelter_in_place,smartphone_app,official_push,1
shelter_in_place,social_media,social_media,6
shelter_in_place,someone_told_me,interpersonal,3
shelter_in_place,subscribed_alert,official_push,2
shelter_in_place,television,media,3
shelter_in_place,text_message,official_push,1
