construct,outcome_group,n,mean,std
worry_1_score,stayed,36,3.8333333333333335,1.1338934190276817
worry_1_score,evacuated,291,4.164948453608248,1.0733166037179178
belief_1_score,stayed,36,2.9722222222222223,1.298044927928396
belief_1_score,evacuated,292,3.7260273972602738,1.3161463478157753
worry_2_score,stayed,36,4.222222222222222,0.8979694907674793
worry_2_score,evacuated,291,4.237113402061856,1.083797880472331
belief_2_score,stayed,36,2.4722222222222223,1.4037930476515834
belief_2_score,evacuated,292,2.339041095890411,1.3939423825979746
worry_3_score,stayed,36,3.4444444444444446,1.1818736805705576
worry_3_score,evacuated,291,3.2371134020618557,1.3704255257322033
belief_3_score,stayed,36,3.888888888888889,1.0896336940924631
belief_3_score,evacuated,292,4.2020547945205475,1.1651862484387707
worry_4_score,stayed,36,3.1944444444444446,1.3053613499595635
worry_4_score,evacuated,291,3.216494845360825,1.44002014442599
belief_4_score,stayed,36,3.0,1.3093073414159542
belief_4_score,evacuated,292,3.7226027397260273,1.3502333028873732
worry_5_score,stayed,36,2.4444444444444446,1.2749105166233532
worry_5_score,evacuated,291,2.185567010309278,1.447922865924338
belief_5_score,stayed,36,3.3055555555555554,1.260826133803761
belief_5_score,evacuated,292,3.7226027397260273,1.352775969796855
worry_6_score,stayed,36,2.611111111111111,1.2711699398086063
worry_6_score,evacuated,291,2.147766323024055,1.3928958276145738
belief_6_score,stayed,36,3.138888888888889,1.3554709835705032
belief_6_score,evacuated,292,3.2157534246575343,1.4280060044039242
worry_7_score,stayed,36,2.361111111111111,1.046156988431681
worry_7_score,evacuated,291,1.738831615120275,1.1892495500265774
belief_7_score,stayed,36,3.0277777777777777,1.4037930476515834
belief_7_score,evacuated,292,2.8732876712328768,1.4218612793507301
worry_8_score,stayed,36,1.9444444444444444,1.0404516723710344
worry_8_score,evacuated,291,1.5257731958762886,1.0900121812526051
belief_8_score,stayed,36,2.111111111111111,1.259881576697424
belief_8_score,evacuated,291,2.0790378006872854,1.2528342084005348
worry_9_score,stayed,36,2.3333333333333335,1.3732131246511903
worry_9_score,evacuated,291,1.7972508591065293,1.314426321287765
belief_9_score,stayed,36,1.9166666666666667,1.4015297764534702
belief_9_score,evacuated,292,2.434931506849315,1.6094263760412832
