respondent_id,departure_datetime,first_warning_datetime,warning_to_departure_hours,departure_before_reported_warning
R_1ONbIcggV8zwUoM,2018-07-25 18:00:00,2018-07-25 17:00:00,1.0,0
R_2dijKE0xz3845Zt,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_NXswprt3ABo6TGF,2018-07-26 20:00:00,2018-07-26 10:00:00,10.0,0
R_2a9JCIdTQfDL1MR,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_3FKyTVs33fuwcNq,2018-07-23 15:00:00,2018-07-24 16:00:00,-25.0,1
R_1pEGWLYuYWMhtz0,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_1H0sz1KvaMvAZL8,2018-07-26 19:00:00,2018-07-26 18:00:00,1.0,0
R_vNWWgd9H4JIAHSx,2018-07-26 19:00:00,2018-07-26 20:00:00,-1.0,1
R_2qpyWkzjJ8enE89,2018-07-27 03:00:00,2018-07-26 03:00:00,24.0,0
R_33j1EKquw7XFWD2,2018-07-26 19:00:00,2018-07-26 20:00:00,-1.0,1
R_3qloTHs0R33sGTd,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_1JRdtfxPwGIo0la,2018-07-26 19:00:00,2018-07-26 17:00:00,2.0,0
R_2QuQbruxcLUnjLW,2018-07-26 17:00:00,2018-07-26 17:00:00,0.0,0
R_3FW3v9ZgErTopge,2018-07-26 21:00:00,2018-07-26 18:00:00,3.0,0
R_sXWyVMVguhWJ07n,2018-07-26 19:00:00,2018-07-26 18:00:00,1.0,0
R_3st46g4iXF14Kgn,2018-07-26 12:00:00,2018-07-26 12:00:00,0.0,0
R_2rjUVkaye8cloMz,2018-07-27 02:00:00,2018-07-27 00:00:00,2.0,0
R_09zsYpD3O4vGHU5,2018-07-27 18:00:00,2018-07-26 20:00:00,22.0,0
R_tQZaMCsFQuKnoS5,2018-07-26 19:00:00,2018-07-26 14:00:00,5.0,0
R_Rt4UkChK1fu1yUh,2018-07-24 22:00:00,2018-07-24 14:00:00,8.0,0
R_3EKJx4332HgEQke,2018-07-25 22:00:00,2018-07-25 18:00:00,4.0,0
R_2pYmltjrPDF4Oyo,2018-07-26 18:00:00,2018-07-26 16:00:00,2.0,0
R_1mt3mwQWrG0ZRPe,2018-07-26 20:00:00,2018-07-26 14:00:00,6.0,0
R_3JIfVF2MFc43RsC,2018-07-26 19:00:00,2018-07-26 19:00:00,0.0,0
R_24IZCMWR7sJPj0c,2018-08-01 22:00:00,2018-08-01 22:00:00,0.0,0
R_10P37NkWBuoVmFk,2018-07-26 18:00:00,2018-07-26 13:00:00,5.0,0
R_1ilAooY68U7zfRf,2018-07-26 20:00:00,2018-07-26 19:00:00,1.0,0
R_31tlMelySZbPldU,2018-07-26 10:00:00,2018-07-26 09:00:00,1.0,0
R_um6sMVHUxLMUoP7,2018-07-26 21:00:00,2018-07-26 20:00:00,1.0,0
R_1rGRMZ7RuQpMaZI,2018-07-26 17:00:00,2018-07-26 12:00:00,5.0,0
R_YSSOIgeSYTO9hlf,2018-07-26 07:00:00,2018-07-26 07:00:00,0.0,0
R_9S6ztzG8yKMYSaZ,2018-07-26 20:00:00,2018-07-27 03:00:00,-7.0,1
R_CmgKBFfsQCEmnAZ,2018-07-26 18:00:00,2018-07-26 18:00:00,0.0,0
R_2dRPwA8OCkWQmCm,2018-07-26 20:00:00,2018-07-26 10:00:00,10.0,0
R_2U3NjjoR8nYfBaB,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_1MWiN6yYWdiWTay,2018-07-26 18:00:00,2018-07-26 10:00:00,8.0,0
R_2zHlZrSD0kCbwD3,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_2pXdb1l0cvKjgNJ,2018-07-26 20:00:00,2018-07-23 17:00:00,75.0,0
R_DpXlWsnwyv4luzT,2018-07-26 21:00:00,2018-07-26 21:00:00,0.0,0
R_Zglk6HAfg4WEVl7,2018-07-26 20:00:00,2018-07-26 20:00:00,0.0,0
R_12LL2VpsMzHzICQ,2018-07-25 23:00:00,2018-07-25 23:00:00,0.0,0
