donor_id,PUMA,WGTP,NP,TYPE,VEH,HHT,HINCP,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size
donor_h0000001,08900,24,2,1,1.0,2.0,38600.0,35000_39999,1,other_male_householder,has_65_plus,24.0,2
donor_h0000002,08900,20,4,1,1.0,1.0,79000.0,75000_99999,1,married_couple,no_65_plus,20.0,4
donor_h0000003,08900,19,3,1,2.0,1.0,64000.0,60000_74999,2,married_couple,no_65_plus,19.0,3
donor_h0000004,08900,47,3,1,2.0,1.0,32000.0,30000_34999,2,married_couple,no_65_plus,47.0,3
donor_h0000005,08900,57,4,1,2.0,1.0,85000.0,75000_99999,2,married_couple,no_65_plus,57.0,4
donor_h0000006,08900,77,2,1,2.0,1.0,68000.0,60000_74999,2,married_couple,has_65_plus,77.0,2
donor_h0000007,08900,16,2,1,1.0,1.0,105300.0,100000_124999,1,married_couple,has_65_plus,16.0,2
donor_h0000008,08900,13,2,1,5.0,1.0,70800.0,60000_74999,4_plus,married_couple,has_65_plus,13.0,2
donor_h0000009,08900,8,1,1,2.0,6.0,12000.0,10000_14999,2,nonfamily_not_living_alone,has_65_plus,8.0,1
donor_h0000010,08900,3,2,1,2.0,1.0,88900.0,75000_99999,2,married_couple,has_65_plus,3.0,2
donor_h0000011,08900,34,4,1,1.0,3.0,25200.0,25000_29999,1,other_female_householder,no_65_plus,34.0,4
donor_h0000012,08900,31,3,1,2.0,1.0,65000.0,60000_74999,2,married_couple,no_65_plus,31.0,3
donor_h0000013,08900,13,2,1,1.0,3.0,12000.0,10000_14999,1,other_female_householder,no_65_plus,13.0,2
donor_h0000014,08900,6,4,1,2.0,1.0,72540.0,60000_74999,2,married_couple,no_65_plus,6.0,4
donor_h0000015,08900,14,5,1,3.0,1.0,32400.0,30000_34999,3,married_couple,has_65_plus,14.0,5
donor_h0000016,08900,20,3,1,3.0,1.0,189200.0,150000_199999,3,married_couple,no_65_plus,20.0,3
donor_h0000017,08900,13,2,1,1.0,2.0,56000.0,50000_59999,1,other_male_householder,no_65_plus,13.0,2
donor_h0000018,08900,13,2,1,3.0,1.0,61270.0,60000_74999,3,married_couple,has_65_plus,13.0,2
donor_h0000019,08900,25,3,1,1.0,3.0,50000.0,50000_59999,1,other_female_householder,no_65_plus,25.0,3
donor_h0000020,08900,11,3,1,3.0,3.0,34500.0,30000_34999,3,other_female_householder,no_65_plus,11.0,3
donor_h0000021,08900,12,1,1,1.0,4.0,30.0,lt_10000,1,nonfamily_living_alone,no_65_plus,12.0,1
donor_h0000022,08900,7,1,1,1.0,6.0,19300.0,15000_19999,1,nonfamily_not_living_alone,has_65_plus,7.0,1
donor_h0000023,08900,22,1,1,1.0,6.0,1304.0,lt_10000,1,nonfamily_not_living_alone,has_65_plus,22.0,1
donor_h0000024,08900,14,2,1,3.0,1.0,99000.0,75000_99999,3,married_couple,no_65_plus,14.0,2
donor_h0000025,08900,6,2,1,3.0,1.0,28200.0,25000_29999,3,married_couple,has_65_plus,6.0,2
donor_h0000026,08900,20,2,1,2.0,1.0,126200.0,125000_149999,2,married_couple,has_65_plus,20.0,2
donor_h0000027,08900,14,1,1,1.0,4.0,18000.0,15000_19999,1,nonfamily_living_alone,no_65_plus,14.0,1
donor_h0000028,08900,33,2,1,2.0,1.0,43600.0,40000_44999,2,married_couple,has_65_plus,33.0,2
donor_h0000029,08900,19,1,1,1.0,4.0,20000.0,20000_24999,1,nonfamily_living_alone,no_65_plus,19.0,1
donor_h0000030,08900,13,2,1,2.0,1.0,67080.0,60000_74999,2,married_couple,has_65_plus,13.0,2
donor_h0000031,08900,3,2,1,1.0,1.0,17600.0,15000_19999,1,married_couple,no_65_plus,3.0,2
donor_h0000032,08900,18,2,1,2.0,5.0,134700.0,125000_149999,2,nonfamily_living_alone,no_65_plus,18.0,2
donor_h0000033,08900,13,1,1,0.0,4.0,465500.0,200000_plus,0,nonfamily_living_alone,no_65_plus,13.0,1
donor_h0000034,08900,7,2,1,2.0,1.0,67300.0,60000_74999,2,married_couple,has_65_plus,7.0,2
donor_h0000035,08900,9,1,1,1.0,6.0,79600.0,75000_99999,1,nonfamily_not_living_alone,has_65_plus,9.0,1
donor_h0000036,08900,14,1,1,2.0,6.0,33700.0,30000_34999,2,nonfamily_not_living_alone,has_65_plus,14.0,1
donor_h0000037,08900,12,2,1,4.0,5.0,9008.0,lt_10000,4_plus,nonfamily_living_alone,no_65_plus,12.0,2
donor_h0000038,08900,16,3,1,2.0,3.0,71600.0,60000_74999,2,other_female_householder,no_65_plus,16.0,3
