donor_id,SPORDER,PWGTP,AGEP,DEAR,DEYE,DOUT,DPHY,DRAT,DREM,RELP,DIS,person_age_group,decision_capable,decision_policy
donor_h0000001,1,24,43,2,2,1.0,2.0,,1.0,0,1,35_64,True,generative
donor_h0000001,2,26,72,2,2,1.0,1.0,,1.0,6,1,65_plus,True,generative
donor_h0000002,1,20,47,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0000002,2,22,42,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative
donor_h0000002,3,20,15,2,2,2.0,2.0,,2.0,2,2,0_17,False,dependent
donor_h0000002,4,26,13,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0000003,1,19,29,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0000003,2,25,25,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative
donor_h0000003,3,29,0,2,2,,,,,2,2,0_17,False,dependent
donor_h0000004,1,47,21,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative
donor_h0000004,2,77,24,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative
donor_h0000004,3,84,1,2,2,,,,,3,2,0_17,False,dependent
donor_h0000005,1,56,46,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0000005,2,34,31,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative
donor_h0000005,3,41,16,2,2,2.0,2.0,,2.0,2,2,0_17,False,dependent
donor_h0000005,4,81,12,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0000006,1,76,76,2,2,2.0,1.0,,2.0,0,1,65_plus,True,generative
donor_h0000006,2,62,65,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0000007,1,15,76,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0000007,2,12,74,2,2,2.0,1.0,,2.0,1,1,65_plus,True,generative
donor_h0000008,1,13,71,1,2,2.0,2.0,,2.0,0,1,65_plus,True,generative
donor_h0000008,2,13,70,2,2,2.0,2.0,,2.0,1,2,65_plus,True,generative
donor_h0000009,1,7,70,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative
donor_h0000010,1,3,64,2,1,2.0,1.0,,2.0,0,1,35_64,True,generative
donor_h0000010,2,3,68,2,2,2.0,1.0,5.0,2.0,1,1,65_plus,True,generative
donor_h0000011,1,34,35,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
donor_h0000011,2,33,17,2,1,1.0,1.0,,1.0,2,1,0_17,False,dependent
donor_h0000011,3,32,15,2,2,2.0,2.0,,2.0,2,2,0_17,False,dependent
donor_h0000011,4,54,14,2,2,,2.0,,2.0,2,2,0_17,False,dependent
donor_h0000012,1,31,52,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative
