donor_id,PUMA,ADJINC,WGTP,NP,TYPE,ACCESS,BDSP,BLD,HISPEED,RMSP,SMARTPHONE,TEN,VEH,HHT,HINCP,HUPAC,HUPAOC,HUPARC,NOC,NRC,WIF,HINCP_ADJUSTED_2018,negative_income,TEN_label,BLD_label,ACCESS_label,HISPEED_label,SMARTPHONE_label,HUPAC_label,HUPAOC_label,HUPARC_label,WIF_label,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size
donor_h0000001,08900,1070673,24,2,1,1,2.0,02,1,7.0,2,3,1.0,2.0,38600.0,4,4,4,0.0,0.0,0,41327.9778,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,No workers,40000_44999,1,other_male_householder,has_65_plus,24.0,2
donor_h0000002,08900,1070673,20,4,1,1,3.0,02,1,8.0,1,3,1.0,1.0,79000.0,2,2,2,2.0,2.0,2,84583.167,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,2 workers,75000_99999,1,married_couple,no_65_plus,20.0,4
donor_h0000003,08900,1070673,19,3,1,1,3.0,02,1,4.0,1,1,2.0,1.0,64000.0,1,1,1,1.0,1.0,2,68523.072,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,2 workers,60000_74999,2,married_couple,no_65_plus,19.0,3
donor_h0000004,08900,1070673,47,3,1,3,2.0,01,,4.0,2,3,2.0,1.0,32000.0,1,1,1,1.0,1.0,2,34261.536,False,Rented,Mobile home or trailer,"No access to the Internet at this house, apartment, or mobile home",,No,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,2 workers,30000_34999,2,married_couple,no_65_plus,47.0,3
donor_h0000005,08900,1070673,57,4,1,3,3.0,02,,6.0,2,3,2.0,1.0,85000.0,2,2,2,2.0,2.0,2,91007.205,False,Rented,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,2 workers,75000_99999,2,married_couple,no_65_plus,57.0,4
donor_h0000006,08900,1070673,77,2,1,1,3.0,02,2,6.0,1,1,2.0,1.0,68000.0,4,4,4,0.0,0.0,1,72805.764,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,1 worker,60000_74999,2,married_couple,has_65_plus,77.0,2
donor_h0000007,08900,1070673,16,2,1,3,3.0,02,,5.0,2,2,1.0,1.0,105300.0,4,4,4,0.0,0.0,0,112741.8669,False,Owned free and clear,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,No workers,100000_124999,1,married_couple,has_65_plus,16.0,2
donor_h0000008,08900,1070673,13,2,1,1,2.0,02,1,6.0,1,2,5.0,1.0,70800.0,4,4,4,0.0,0.0,1,75803.6484,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,1 worker,75000_99999,4_plus,married_couple,has_65_plus,13.0,2
donor_h0000009,08900,1070673,8,1,1,1,3.0,02,1,5.0,1,1,2.0,6.0,12000.0,4,4,4,0.0,0.0,,12848.076,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,10000_14999,2,nonfamily_not_living_alone,has_65_plus,8.0,1
donor_h0000010,08900,1070673,3,2,1,1,3.0,02,1,7.0,1,1,2.0,1.0,88900.0,4,4,4,0.0,0.0,0,95182.8297,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,No workers,75000_99999,2,married_couple,has_65_plus,3.0,2
