geoid,PUMA,WGTP,NP,TYPE,VEH,HHT,HINCP,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size,synthetic_household_id
14000US06089010100,8900,37,1,1,1.0,4.0,22000.0,20000_24999,1,nonfamily_living_alone,has_65_plus,37.0,1,syn_t001_h0000001
14000US06089010100,8900,13,1,1,2.0,4.0,18000.0,15000_19999,2,nonfamily_living_alone,no_65_plus,13.0,1,syn_t001_h0000002
14000US06089010100,8900,35,3,1,2.0,7.0,26300.0,25000_29999,2,nonfamily_not_living_alone,no_65_plus,35.0,3,syn_t001_h0000003
14000US06089010100,8900,14,1,1,1.0,6.0,49800.0,45000_49999,1,nonfamily_not_living_alone,has_65_plus,14.0,1,syn_t001_h0000004
14000US06089010100,8900,10,2,1,1.0,1.0,34000.0,30000_34999,1,married_couple,has_65_plus,10.0,2,syn_t001_h0000005
14000US06089010100,8900,15,1,1,1.0,6.0,42000.0,40000_44999,1,nonfamily_not_living_alone,no_65_plus,15.0,1,syn_t001_h0000006
14000US06089010100,8900,10,1,1,1.0,4.0,28000.0,25000_29999,1,nonfamily_living_alone,no_65_plus,10.0,1,syn_t001_h0000007
14000US06089010100,8900,21,1,1,0.0,4.0,11500.0,10000_14999,0,nonfamily_living_alone,has_65_plus,21.0,1,syn_t001_h0000008
14000US06089010100,8900,59,1,1,1.0,4.0,50000.0,50000_59999,1,nonfamily_living_alone,no_65_plus,59.0,1,syn_t001_h0000009
14000US06089010100,8900,12,1,1,1.0,4.0,16700.0,15000_19999,1,nonfamily_living_alone,no_65_plus,12.0,1,syn_t001_h0000010
14000US06089010200,8900,71,1,1,0.0,4.0,1000.0,lt_10000,0,nonfamily_living_alone,no_65_plus,71.0,1,syn_t002_h0000001
14000US06089010200,8900,13,1,1,1.0,4.0,34900.0,30000_34999,1,nonfamily_living_alone,has_65_plus,13.0,1,syn_t002_h0000002
14000US06089010200,8900,4,2,1,2.0,1.0,38900.0,35000_39999,2,married_couple,no_65_plus,4.0,2,syn_t002_h0000003
14000US06089010200,8900,12,1,1,1.0,4.0,27600.0,25000_29999,1,nonfamily_living_alone,has_65_plus,12.0,1,syn_t002_h0000004
14000US06089010200,8900,13,2,1,2.0,2.0,26000.0,25000_29999,2,other_male_householder,no_65_plus,13.0,2,syn_t002_h0000005
14000US06089010200,8900,19,1,1,1.0,6.0,11600.0,10000_14999,1,nonfamily_not_living_alone,has_65_plus,19.0,1,syn_t002_h0000006
14000US06089010200,8900,14,2,1,1.0,3.0,10800.0,10000_14999,1,other_female_householder,no_65_plus,14.0,2,syn_t002_h0000007
14000US06089010200,8900,62,3,1,1.0,3.0,36000.0,35000_39999,1,other_female_householder,no_65_plus,62.0,3,syn_t002_h0000008
14000US06089010200,8900,4,2,1,1.0,1.0,53100.0,50000_59999,1,married_couple,has_65_plus,4.0,2,syn_t002_h0000009
14000US06089010200,8900,35,2,1,3.0,1.0,77200.0,75000_99999,3,married_couple,has_65_plus,35.0,2,syn_t002_h0000010
14000US06089010200,8900,57,2,1,0.0,2.0,20000.0,20000_24999,0,other_male_householder,no_65_plus,57.0,2,syn_t002_h0000011
14000US06089010200,8900,36,1,1,1.0,4.0,24000.0,20000_24999,1,nonfamily_living_alone,no_65_plus,36.0,1,syn_t002_h0000012
14000US06089010200,8900,9,1,1,1.0,4.0,20000.0,20000_24999,1,nonfamily_living_alone,no_65_plus,9.0,1,syn_t002_h0000013
14000US06089010200,8900,18,1,1,0.0,4.0,25000.0,25000_29999,0,nonfamily_living_alone,has_65_plus,18.0,1,syn_t002_h0000014
14000US06089010200,8900,12,1,1,2.0,4.0,56900.0,50000_59999,2,nonfamily_living_alone,has_65_plus,12.0,1,syn_t002_h0000015
14000US06089010200,8900,24,2,1,1.0,1.0,60000.0,60000_74999,1,married_couple,no_65_plus,24.0,2,syn_t002_h0000016
14000US06089010300,8900,42,3,1,1.0,1.0,45800.0,45000_49999,1,married_couple,has_65_plus,42.0,3,syn_t003_h0000001
14000US06089010300,8900,16,3,1,4.0,1.0,15000.0,15000_19999,4_plus,married_couple,no_65_plus,16.0,3,syn_t003_h0000002
14000US06089010300,8900,12,2,1,1.0,7.0,10500.0,10000_14999,1,nonfamily_not_living_alone,no_65_plus,12.0,2,syn_t003_h0000003
14000US06089010300,8900,71,2,1,2.0,1.0,64000.0,60000_74999,2,married_couple,no_65_plus,71.0,2,syn_t003_h0000004
14000US06089010300,8900,36,2,1,1.0,7.0,43800.0,40000_44999,1,nonfamily_not_living_alone,no_65_plus,36.0,2,syn_t003_h0000005
14000US06089010300,8900,79,2,1,2.0,1.0,60000.0,60000_74999,2,married_couple,no_65_plus,79.0,2,syn_t003_h0000006
14000US06089010300,8900,36,1,1,0.0,6.0,13000.0,10000_14999,0,nonfamily_not_living_alone,no_65_plus,36.0,1,syn_t003_h0000007
14000US06089010300,8900,48,3,1,2.0,3.0,30000.0,30000_34999,2,other_female_householder,no_65_plus,48.0,3,syn_t003_h0000008
14000US06089010300,8900,16,4,1,4.0,1.0,128000.0,125000_149999,4_plus,married_couple,no_65_plus,16.0,4,syn_t003_h0000009
14000US06089010300,8900,25,4,1,3.0,1.0,99400.0,75000_99999,3,married_couple,no_65_plus,25.0,4,syn_t003_h0000010
14000US06089010300,8900,62,2,1,1.0,1.0,26500.0,25000_29999,1,married_couple,no_65_plus,62.0,2,syn_t003_h0000011
14000US06089010300,8900,44,1,1,2.0,4.0,126900.0,125000_149999,2,nonfamily_living_alone,has_65_plus,44.0,1,syn_t003_h0000012
14000US06089010300,8900,42,4,1,0.0,3.0,14400.0,10000_14999,0,other_female_householder,no_65_plus,42.0,4,syn_t003_h0000013
14000US06089010300,8900,11,3,1,3.0,3.0,34500.0,30000_34999,3,other_female_householder,no_65_plus,11.0,3,syn_t003_h0000014
14000US06089010300,8900,21,4,1,4.0,1.0,129580.0,125000_149999,4_plus,married_couple,has_65_plus,21.0,4,syn_t003_h0000015
