geoid,SPORDER,PWGTP,AGEP,DEAR,DEYE,DOUT,DPHY,DRAT,DREM,RELP,DIS,person_age_group,decision_capable,decision_policy,synthetic_household_id,resident_id
14000US06089010100,1,37,83,1,2,2.0,2.0,,2.0,0,1,65_plus,True,generative,syn_t001_h0000001,syn_t001_h0000001_r001
14000US06089010100,1,13,46,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t001_h0000002,syn_t001_h0000002_r001
14000US06089010100,1,35,61,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t001_h0000003,syn_t001_h0000003_r001
14000US06089010100,2,49,59,2,1,1.0,2.0,,2.0,11,1,35_64,True,generative,syn_t001_h0000003,syn_t001_h0000003_r002
14000US06089010100,3,49,47,2,1,1.0,1.0,,1.0,11,1,35_64,True,generative,syn_t001_h0000003,syn_t001_h0000003_r003
14000US06089010100,1,14,81,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative,syn_t001_h0000004,syn_t001_h0000004_r001
14000US06089010100,1,10,75,2,2,1.0,1.0,,2.0,0,1,65_plus,True,generative,syn_t001_h0000005,syn_t001_h0000005_r001
14000US06089010100,2,13,80,2,2,1.0,1.0,,2.0,1,1,65_plus,True,generative,syn_t001_h0000005,syn_t001_h0000005_r002
14000US06089010100,1,16,63,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t001_h0000006,syn_t001_h0000006_r001
14000US06089010100,1,9,61,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t001_h0000007,syn_t001_h0000007_r001
14000US06089010100,1,21,74,2,2,2.0,2.0,,1.0,0,1,65_plus,True,generative,syn_t001_h0000008,syn_t001_h0000008_r001
14000US06089010100,1,59,52,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t001_h0000009,syn_t001_h0000009_r001
14000US06089010100,1,12,58,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t001_h0000010,syn_t001_h0000010_r001
14000US06089010200,1,71,27,2,2,1.0,2.0,,1.0,0,1,18_34,True,generative,syn_t002_h0000001,syn_t002_h0000001_r001
14000US06089010200,1,14,81,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative,syn_t002_h0000002,syn_t002_h0000002_r001
14000US06089010200,1,4,55,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t002_h0000003,syn_t002_h0000003_r001
14000US06089010200,2,3,60,2,2,2.0,2.0,3.0,2.0,1,2,35_64,True,generative,syn_t002_h0000003,syn_t002_h0000003_r002
14000US06089010200,1,13,76,1,2,2.0,2.0,,2.0,0,1,65_plus,True,generative,syn_t002_h0000004,syn_t002_h0000004_r001
14000US06089010200,1,12,58,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t002_h0000005,syn_t002_h0000005_r001
14000US06089010200,2,19,24,2,2,2.0,2.0,,2.0,2,2,18_34,True,generative,syn_t002_h0000005,syn_t002_h0000005_r002
14000US06089010200,1,19,84,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative,syn_t002_h0000006,syn_t002_h0000006_r001
14000US06089010200,1,14,54,2,2,1.0,2.0,,2.0,0,1,35_64,True,generative,syn_t002_h0000007,syn_t002_h0000007_r001
14000US06089010200,2,17,12,2,2,,2.0,,2.0,2,2,0_17,False,dependent,syn_t002_h0000007,syn_t002_h0000007_r002
14000US06089010200,1,62,28,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative,syn_t002_h0000008,syn_t002_h0000008_r001
14000US06089010200,2,70,7,2,2,,2.0,,2.0,2,2,0_17,False,dependent,syn_t002_h0000008,syn_t002_h0000008_r002
14000US06089010200,3,63,2,2,2,,,,,2,2,0_17,False,dependent,syn_t002_h0000008,syn_t002_h0000008_r003
14000US06089010200,1,4,75,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative,syn_t002_h0000009,syn_t002_h0000009_r001
14000US06089010200,2,5,73,1,2,2.0,2.0,,2.0,1,1,65_plus,True,generative,syn_t002_h0000009,syn_t002_h0000009_r002
14000US06089010200,1,35,66,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative,syn_t002_h0000010,syn_t002_h0000010_r001
14000US06089010200,2,29,58,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative,syn_t002_h0000010,syn_t002_h0000010_r002
14000US06089010200,1,57,50,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t002_h0000011,syn_t002_h0000011_r001
14000US06089010200,2,77,15,2,2,2.0,2.0,,2.0,2,2,0_17,False,dependent,syn_t002_h0000011,syn_t002_h0000011_r002
14000US06089010200,1,36,43,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t002_h0000012,syn_t002_h0000012_r001
14000US06089010200,1,9,27,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative,syn_t002_h0000013,syn_t002_h0000013_r001
14000US06089010200,1,19,65,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative,syn_t002_h0000014,syn_t002_h0000014_r001
14000US06089010200,1,11,76,2,2,2.0,2.0,,2.0,0,2,65_plus,True,generative,syn_t002_h0000015,syn_t002_h0000015_r001
14000US06089010200,1,24,24,2,2,2.0,2.0,,2.0,0,2,18_34,True,generative,syn_t002_h0000016,syn_t002_h0000016_r001
14000US06089010200,2,19,25,2,2,2.0,2.0,,2.0,1,2,18_34,True,generative,syn_t002_h0000016,syn_t002_h0000016_r002
14000US06089010300,1,42,59,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t003_h0000001,syn_t003_h0000001_r001
14000US06089010300,2,46,56,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative,syn_t003_h0000001,syn_t003_h0000001_r002
14000US06089010300,3,59,80,1,1,1.0,1.0,,1.0,8,1,65_plus,True,generative,syn_t003_h0000001,syn_t003_h0000001_r003
14000US06089010300,1,15,45,2,2,2.0,2.0,,2.0,0,2,35_64,True,generative,syn_t003_h0000002,syn_t003_h0000002_r001
14000US06089010300,2,15,52,2,2,2.0,2.0,,2.0,1,2,35_64,True,generative,syn_t003_h0000002,syn_t003_h0000002_r002
