geoid,PUMA,ADJINC,WGTP,NP,TYPE,ACCESS,BDSP,BLD,HISPEED,RMSP,SMARTPHONE,TEN,VEH,HHT,HINCP,HUPAC,HUPAOC,HUPARC,NOC,NRC,WIF,HINCP_ADJUSTED_2018,negative_income,TEN_label,BLD_label,ACCESS_label,HISPEED_label,SMARTPHONE_label,HUPAC_label,HUPAOC_label,HUPARC_label,WIF_label,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size,synthetic_household_id
14000US06089010100,8900,1070673,14,1,1,2,3.0,2,,4.0,2,1,1.0,6.0,37400.0,4,4,4,0.0,0.0,,40043.1702,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, without paying a cell phone company or Internet service provider",,No,No children,No own children present,No related children present,,40000_44999,1,nonfamily_not_living_alone,has_65_plus,14.0,1,syn_t001_h0000001
14000US06089010100,8900,1070673,34,2,1,1,2.0,2,1.0,3.0,1,3,1.0,5.0,40000.0,4,4,4,0.0,0.0,,42826.92,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,40000_44999,1,nonfamily_living_alone,no_65_plus,34.0,2,syn_t001_h0000002
14000US06089010100,8900,1061242,17,1,1,1,1.0,2,1.0,3.0,1,4,1.0,4.0,17001.0,4,4,4,0.0,0.0,,18042.175242,False,Occupied without payment of rent,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,15000_19999,1,nonfamily_living_alone,no_65_plus,17.0,1,syn_t001_h0000003
14000US06089010100,8900,1070673,72,1,1,3,2.0,6,,3.0,1,3,1.0,4.0,22000.0,4,4,4,0.0,0.0,,23554.806,False,Rented,5-9 Apartments,"No access to the Internet at this house, apartment, or mobile home",,Yes,No children,No own children present,No related children present,,20000_24999,1,nonfamily_living_alone,no_65_plus,72.0,1,syn_t001_h0000004
14000US06089010100,8900,1061242,50,6,1,3,3.0,2,,5.0,2,3,1.0,1.0,24500.0,3,3,3,4.0,4.0,1.0,26000.429,False,Rented,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,With children under 6 years and 6 to 17 years,Presence of own children under 6 years and 6 to 17 years,Presence of related children under 6 years and 6 to 17 years,1 worker,25000_29999,1,married_couple,no_65_plus,50.0,6,syn_t001_h0000005
14000US06089010100,8900,1061242,23,3,1,3,3.0,2,,4.0,2,2,1.0,2.0,22200.0,2,2,2,2.0,2.0,0.0,23559.5724,False,Owned free and clear,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,No workers,20000_24999,1,other_male_householder,no_65_plus,23.0,3,syn_t001_h0000006
14000US06089010100,8900,1035838,40,3,1,1,1.0,2,1.0,3.0,1,3,0.0,3.0,27800.0,2,2,2,1.0,1.0,1.0,28796.2964,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,25000_29999,0,other_female_householder,no_65_plus,40.0,3,syn_t001_h0000007
14000US06089010100,8900,1054346,9,1,1,3,2.0,1,,4.0,2,2,1.0,6.0,13900.0,4,4,4,0.0,0.0,,14655.4094,False,Owned free and clear,Mobile home or trailer,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,10000_14999,1,nonfamily_not_living_alone,has_65_plus,9.0,1,syn_t001_h0000008
14000US06089010100,8900,1054346,13,1,1,1,3.0,2,1.0,7.0,1,2,1.0,4.0,25500.0,4,4,4,0.0,0.0,,26885.823,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,25000_29999,1,nonfamily_living_alone,has_65_plus,13.0,1,syn_t001_h0000009
14000US06089010100,8900,1070673,20,1,1,3,9.0,6,,19.0,2,3,0.0,4.0,12900.0,4,4,4,0.0,0.0,,13811.6817,False,Rented,5-9 Apartments,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,10000_14999,0,nonfamily_living_alone,no_65_plus,20.0,1,syn_t001_h0000010
14000US06089010200,8900,1013097,71,1,1,1,2.0,1,1.0,3.0,1,3,0.0,4.0,1000.0,4,4,4,0.0,0.0,,1013.097,False,Rented,Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,lt_10000,0,nonfamily_living_alone,no_65_plus,71.0,1,syn_t002_h0000001
14000US06089010200,8900,1070673,22,1,1,1,2.0,2,1.0,5.0,2,1,1.0,4.0,15600.0,4,4,4,0.0,0.0,,16702.4988,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,,15000_19999,1,nonfamily_living_alone,has_65_plus,22.0,1,syn_t002_h0000002
14000US06089010200,8900,1061242,15,1,1,3,0.0,6,,1.0,2,3,0.0,4.0,9900.0,4,4,4,0.0,0.0,,10506.2958,False,Rented,5-9 Apartments,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,10000_14999,0,nonfamily_living_alone,has_65_plus,15.0,1,syn_t002_h0000003
14000US06089010200,8900,1035838,14,1,1,1,2.0,3,1.0,7.0,2,1,0.0,4.0,64000.0,4,4,4,0.0,0.0,,66293.632,False,Owned with mortgage or loan (include home equity loans),One-family house attached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,,60000_74999,0,nonfamily_living_alone,has_65_plus,14.0,1,syn_t002_h0000004
14000US06089010200,8900,1061242,37,1,1,1,2.0,5,1.0,4.0,1,3,1.0,4.0,50000.0,4,4,4,0.0,0.0,,53062.1,False,Rented,3-4 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,50000_59999,1,nonfamily_living_alone,no_65_plus,37.0,1,syn_t002_h0000005
14000US06089010200,8900,1054346,11,3,1,1,3.0,2,2.0,7.0,1,1,3.0,2.0,50000.0,3,2,2,1.0,1.0,1.0,52717.3,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,With children under 6 years and 6 to 17 years,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,50000_59999,3,other_male_householder,no_65_plus,11.0,3,syn_t002_h0000006
14000US06089010200,8900,1054346,14,1,1,3,0.0,4,,1.0,2,3,0.0,4.0,23000.0,4,4,4,0.0,0.0,,24249.958,False,Rented,2 Apartments,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,20000_24999,0,nonfamily_living_alone,has_65_plus,14.0,1,syn_t002_h0000007
14000US06089010200,8900,1070673,62,3,1,3,3.0,2,,6.0,1,3,1.0,3.0,36000.0,3,3,3,2.0,2.0,1.0,38544.228,False,Rented,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,Yes,With children under 6 years and 6 to 17 years,Presence of own children under 6 years and 6 to 17 years,Presence of related children under 6 years and 6 to 17 years,1 worker,35000_39999,1,other_female_householder,no_65_plus,62.0,3,syn_t002_h0000008
14000US06089010200,8900,1061242,44,2,1,1,2.0,5,1.0,3.0,1,3,1.0,5.0,5500.0,4,4,4,0.0,0.0,,5836.831,False,Rented,3-4 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,lt_10000,1,nonfamily_living_alone,no_65_plus,44.0,2,syn_t002_h0000009
14000US06089010200,8900,1035838,10,2,1,1,3.0,2,2.0,5.0,1,2,2.0,7.0,84900.0,4,4,4,0.0,0.0,,87942.6462,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,,75000_99999,2,nonfamily_not_living_alone,no_65_plus,10.0,2,syn_t002_h0000010
14000US06089010200,8900,1070673,57,2,1,1,2.0,5,2.0,3.0,1,3,0.0,2.0,20000.0,2,2,2,1.0,1.0,0.0,21413.46,False,Rented,3-4 Apartments,"Yes, by paying a cell phone company or Internet service provider",No,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,No workers,20000_24999,0,other_male_householder,no_65_plus,57.0,2,syn_t002_h0000011
14000US06089010200,8900,1070673,36,1,1,3,2.0,2,,4.0,1,3,1.0,4.0,24000.0,4,4,4,0.0,0.0,,25696.152,False,Rented,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,Yes,No children,No own children present,No related children present,,25000_29999,1,nonfamily_living_alone,no_65_plus,36.0,1,syn_t002_h0000012
14000US06089010200,8900,1035838,29,3,1,1,2.0,2,2.0,3.0,1,2,1.0,3.0,12000.0,2,2,2,1.0,1.0,0.0,12430.056,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,No workers,10000_14999,1,other_female_householder,no_65_plus,29.0,3,syn_t002_h0000013
14000US06089010200,8900,1013097,20,2,1,3,2.0,2,,3.0,2,3,1.0,7.0,142800.0,4,4,4,0.0,0.0,,144670.2516,False,Rented,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,125000_149999,1,nonfamily_not_living_alone,has_65_plus,20.0,2,syn_t002_h0000014
14000US06089010200,8900,1035838,45,1,1,3,0.0,9,,1.0,2,3,0.0,6.0,14400.0,4,4,4,0.0,0.0,,14916.0672,False,Rented,50 or more apartments,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,10000_14999,0,nonfamily_not_living_alone,has_65_plus,45.0,1,syn_t002_h0000015
