geoid,SPORDER,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DREM,JWMNP,JWTR,RELP,SCHL,SEX,WKHP,WKW,DIS,ESR,RELP_label,SCHL_label,SEX_label,ESR_label,WKW_label,JWTR_label,WKHP_label,JWMNP_label,DIS_label,DEAR_label,DEYE_label,DREM_label,DPHY_label,DOUT_label,DDRS_label,DRAT_label,person_age_group,decision_capable,decision_policy,synthetic_household_id,resident_id
14000US06089010100,1,13,78,2.0,2,2,2.0,2.0,,2.0,,,0,21.0,2,,,2,6.0,Reference person,Bachelor's degree,Female,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,65_plus,True,generative,syn_t001_h0000001,syn_t001_h0000001_r001
14000US06089010100,1,34,29,2.0,2,2,2.0,2.0,,2.0,7.0,1.0,0,19.0,1,40.0,1.0,2,1.0,Reference person,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t001_h0000002,syn_t001_h0000002_r001
14000US06089010100,2,76,36,2.0,2,2,2.0,2.0,,2.0,,,11,16.0,1,,,2,6.0,Roomer or boarder,Regular high school diploma,Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t001_h0000002,syn_t001_h0000002_r002
14000US06089010100,1,17,28,2.0,2,2,2.0,2.0,,2.0,7.0,1.0,0,16.0,1,40.0,1.0,2,1.0,Reference person,Regular high school diploma,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t001_h0000003,syn_t001_h0000003_r001
14000US06089010100,1,71,40,2.0,2,2,2.0,2.0,,2.0,15.0,1.0,0,19.0,1,40.0,1.0,2,1.0,Reference person,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t001_h0000004,syn_t001_h0000004_r001
14000US06089010100,1,50,46,1.0,1,1,1.0,1.0,,2.0,,,0,19.0,1,,,1,6.0,Reference person,"1 or more years of college credit, no degree",Male,Not in labor force,,,,,With a disability,Yes,Yes,No,Yes,Yes,Yes,,35_64,True,generative,syn_t001_h0000005,syn_t001_h0000005_r001
14000US06089010100,2,57,27,2.0,2,2,2.0,2.0,,2.0,8.0,1.0,1,16.0,2,32.0,1.0,2,1.0,Husband/wife,Regular high school diploma,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t001_h0000005,syn_t001_h0000005_r002
14000US06089010100,3,58,8,2.0,2,2,,2.0,,2.0,,,2,5.0,2,,,2,,Biological son or daughter,Grade 2,Female,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t001_h0000005,syn_t001_h0000005_r003
14000US06089010100,4,63,6,2.0,2,2,,2.0,,2.0,,,2,3.0,1,,,2,,Biological son or daughter,Kindergarten,Male,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t001_h0000005,syn_t001_h0000005_r004
14000US06089010100,5,66,1,,2,2,,,,,,,2,,1,,,2,,Biological son or daughter,,Male,,,,,,Without a disability,No,No,,,,,,0_17,False,dependent,syn_t001_h0000005,syn_t001_h0000005_r005
14000US06089010100,6,62,6,2.0,2,2,,2.0,,2.0,,,3,3.0,1,,,2,,Adopted son or daughter,Kindergarten,Male,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t001_h0000005,syn_t001_h0000005_r006
