sample_id,source_puma,vintage,weight,household_size,household_income,vehicle_count,household_structure,household_older_adult_presence,householder_age_group,hincp_2018_dollars,vehicles_raw,hht_raw
pums_ca_08900_00001,0608900,2018,24,2,35000_39999,1,other_male_householder,has_65_plus,35_64,38600,1,2
pums_ca_08900_00002,0608900,2018,20,4,75000_99999,1,married_couple,no_65_plus,35_64,79000,1,1
pums_ca_08900_00003,0608900,2018,19,3,60000_74999,2,married_couple,no_65_plus,18_34,64000,2,1
pums_ca_08900_00004,0608900,2018,47,3,30000_34999,2,married_couple,no_65_plus,18_34,32000,2,1
pums_ca_08900_00005,0608900,2018,57,4,75000_99999,2,married_couple,no_65_plus,35_64,85000,2,1
pums_ca_08900_00006,0608900,2018,77,2,60000_74999,2,married_couple,has_65_plus,65_plus,68000,2,1
pums_ca_08900_00007,0608900,2018,16,2,100000_124999,1,married_couple,has_65_plus,65_plus,105300,1,1
pums_ca_08900_00008,0608900,2018,13,2,60000_74999,4_plus,married_couple,has_65_plus,65_plus,70800,5,1
pums_ca_08900_00009,0608900,2018,8,1,10000_14999,2,nonfamily_not_living_alone,has_65_plus,65_plus,12000,2,6
pums_ca_08900_00010,0608900,2018,3,2,75000_99999,2,married_couple,has_65_plus,35_64,88900,2,1
pums_ca_08900_00011,0608900,2018,34,4,25000_29999,1,other_female_householder,no_65_plus,35_64,25200,1,3
pums_ca_08900_00012,0608900,2018,31,3,60000_74999,2,married_couple,no_65_plus,35_64,65000,2,1
pums_ca_08900_00013,0608900,2018,13,2,10000_14999,1,other_female_householder,no_65_plus,35_64,12000,1,3
pums_ca_08900_00014,0608900,2018,6,4,60000_74999,2,married_couple,no_65_plus,18_34,72540,2,1
pums_ca_08900_00015,0608900,2018,14,5,30000_34999,3,married_couple,has_65_plus,18_34,32400,3,1
pums_ca_08900_00016,0608900,2018,20,3,150000_199999,3,married_couple,no_65_plus,35_64,189200,3,1
pums_ca_08900_00017,0608900,2018,13,2,50000_59999,1,other_male_householder,no_65_plus,35_64,56000,1,2
pums_ca_08900_00018,0608900,2018,13,2,60000_74999,3,married_couple,has_65_plus,35_64,61270,3,1
pums_ca_08900_00019,0608900,2018,25,3,50000_59999,1,other_female_householder,no_65_plus,35_64,50000,1,3
pums_ca_08900_00020,0608900,2018,11,3,30000_34999,3,other_female_householder,no_65_plus,35_64,34500,3,3
pums_ca_08900_00021,0608900,2018,12,1,lt_10000,1,nonfamily_living_alone,no_65_plus,35_64,30,1,4
pums_ca_08900_00022,0608900,2018,7,1,15000_19999,1,nonfamily_not_living_alone,has_65_plus,65_plus,19300,1,6
pums_ca_08900_00023,0608900,2018,22,1,lt_10000,1,nonfamily_not_living_alone,has_65_plus,65_plus,1304,1,6
pums_ca_08900_00024,0608900,2018,14,2,75000_99999,3,married_couple,no_65_plus,35_64,99000,3,1
pums_ca_08900_00025,0608900,2018,6,2,25000_29999,3,married_couple,has_65_plus,65_plus,28200,3,1
pums_ca_08900_00026,0608900,2018,20,2,125000_149999,2,married_couple,has_65_plus,65_plus,126200,2,1
pums_ca_08900_00027,0608900,2018,14,1,15000_19999,1,nonfamily_living_alone,no_65_plus,35_64,18000,1,4
pums_ca_08900_00028,0608900,2018,33,2,40000_44999,2,married_couple,has_65_plus,65_plus,43600,2,1
pums_ca_08900_00029,0608900,2018,19,1,20000_24999,1,nonfamily_living_alone,no_65_plus,18_34,20000,1,4
pums_ca_08900_00030,0608900,2018,13,2,60000_74999,2,married_couple,has_65_plus,65_plus,67080,2,1
pums_ca_08900_00031,0608900,2018,3,2,15000_19999,1,married_couple,no_65_plus,35_64,17600,1,1
pums_ca_08900_00032,0608900,2018,18,2,125000_149999,2,nonfamily_living_alone,no_65_plus,18_34,134700,2,5
pums_ca_08900_00033,0608900,2018,13,1,200000_plus,0,nonfamily_living_alone,no_65_plus,35_64,465500,0,4
pums_ca_08900_00034,0608900,2018,7,2,60000_74999,2,married_couple,has_65_plus,65_plus,67300,2,1
pums_ca_08900_00035,0608900,2018,9,1,75000_99999,1,nonfamily_not_living_alone,has_65_plus,65_plus,79600,1,6
pums_ca_08900_00036,0608900,2018,14,1,30000_34999,2,nonfamily_not_living_alone,has_65_plus,65_plus,33700,2,6
pums_ca_08900_00037,0608900,2018,12,2,lt_10000,4_plus,nonfamily_living_alone,no_65_plus,35_64,9008,4,5
pums_ca_08900_00038,0608900,2018,16,3,60000_74999,2,other_female_householder,no_65_plus,35_64,71600,2,3
pums_ca_08900_00039,0608900,2018,20,3,10000_14999,1,married_couple,no_65_plus,35_64,12400,1,1
pums_ca_08900_00040,0608900,2018,52,1,45000_49999,2,nonfamily_living_alone,has_65_plus,65_plus,46000,2,4
pums_ca_08900_00041,0608900,2018,7,2,60000_74999,1,married_couple,no_65_plus,35_64,67000,1,1
pums_ca_08900_00042,0608900,2018,57,2,20000_24999,0,other_male_householder,no_65_plus,35_64,20000,0,2
pums_ca_08900_00043,0608900,2018,14,4,150000_199999,3,married_couple,no_65_plus,35_64,150000,3,1
pums_ca_08900_00044,0608900,2018,38,3,60000_74999,1,other_female_householder,has_65_plus,65_plus,69900,1,3
pums_ca_08900_00045,0608900,2018,54,4,60000_74999,1,married_couple,no_65_plus,18_34,70000,1,1
pums_ca_08900_00046,0608900,2018,60,2,60000_74999,4_plus,married_couple,no_65_plus,35_64,60600,4,1
