cohort,channel,n,successes,proportion,wilson_95_ci
main_consistent_warned,reverse_911,234,84,0.358974358974359,"[0.3002455380777468, 0.4222586866808281]"
main_consistent_warned,text,234,89,0.3803418803418803,"[0.32054677302144163, 0.44400226616765215]"
main_consistent_warned,television,234,54,0.23076923076923078,"[0.18139606166732986, 0.28883927650813135]"
main_consistent_warned,radio,234,20,0.08547008547008547,"[0.05600876862772991, 0.1283218314202024]"
main_consistent_warned,flyer,234,0,0.0,"[0.0, 0.01615134232585647]"
main_consistent_warned,public_official,234,67,0.2863247863247863,"[0.23222314722818346, 0.3473287084666269]"
main_consistent_warned,social_media,234,40,0.17094017094017094,"[0.12811753289545003, 0.22439232487455807]"
main_consistent_warned,subscribed_service,234,25,0.10683760683760683,"[0.07341914319860629, 0.15295627127984496]"
main_consistent_warned,website,234,40,0.17094017094017094,"[0.12811753289545003, 0.22439232487455807]"
main_consistent_warned,smartphone_app,234,26,0.1111111111111111,"[0.0769614301036495, 0.15782294726090554]"
main_consistent_warned,interpersonal,234,87,0.3717948717948718,"[0.31241109476580975, 0.4353200186510765]"
main_consistent_warned,billboard,234,0,0.0,"[0.0, 0.01615134232585647]"
main_consistent_warned,other,234,19,0.0811965811965812,"[0.052595514302580255, 0.12332612285924827]"
sensitivity_affirmative_order_priority,reverse_911,249,85,0.3413654618473896,"[0.28527978691789424, 0.40227145420975685]"
sensitivity_affirmative_order_priority,text,249,91,0.3654618473895582,"[0.3081134620516053, 0.42689835004399757]"
sensitivity_affirmative_order_priority,television,249,59,0.23694779116465864,"[0.18838062769382946, 0.2935081392393641]"
sensitivity_affirmative_order_priority,radio,249,22,0.08835341365461848,"[0.05907060962806273, 0.1301446363360951]"
sensitivity_affirmative_order_priority,flyer,249,2,0.008032128514056224,"[0.0022054700679438443, 0.028807872669708204]"
sensitivity_affirmative_order_priority,public_official,249,72,0.2891566265060241,"[0.2363855505263556, 0.3483344535040668]"
sensitivity_affirmative_order_priority,social_media,249,44,0.17670682730923695,"[0.13434870919611694, 0.22888863031719728]"
sensitivity_affirmative_order_priority,subscribed_service,249,27,0.10843373493975904,"[0.07559880260930602, 0.15316691916147826]"
sensitivity_affirmative_order_priority,website,249,44,0.17670682730923695,"[0.13434870919611694, 0.22888863031719728]"
sensitivity_affirmative_order_priority,smartphone_app,249,29,0.11646586345381527,"[0.08232604241002012, 0.16225986968341474]"
sensitivity_affirmative_order_priority,interpersonal,249,97,0.3895582329317269,"[0.331104777645549, 0.4513676054180056]"
sensitivity_affirmative_order_priority,billboard,249,0,0.0,"[8.673617379884035e-19, 0.015193152415001476]"
sensitivity_affirmative_order_priority,other,249,23,0.09236947791164658,"[0.06233962009478198, 0.13478572103070113]"
