condition,seed,status,metric_protocol_version,n_households,n_decision_residents,warning_exposed_coordinator_count,warning_retained_coordinator_count,conditional_warning_retention_rate,warning_retention_rate,planned_primary_count,updated_alternate_count,primary_to_alternate_update_rate,successful_replan_rate,replanned_household_count,compatible_commitment_rate,feasible_commitment_formation_count,feasible_commitment_formation_rate,post_closure_feasible_commitment_count,post_closure_feasible_commitment_rate,coordinated_departure_rate,uncoordinated_departure_rate,resource_conflict_rejections_per_household,dependent_left_behind_rejections,accepted_message_receipts,delivered_message_receipts,processed_message_receipts,rejected_message_receipts,unprocessed_message_receipts,messages_sent,dropped_message_deliveries,invalid_proposal_attempts,invalid_acceptance_attempts,realized_closure_step,n_logical_decisions,run_terminal_status,fallback_rate,cost_usd
full,101,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,26,VALID,0.0,0.022165
full_minus_memory,101,PILOT,v6,2,4,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,26,VALID,0.0,0.021835
full_minus_feedback,101,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.5,1,0.5,1,0.5,1,0.5,0.0,0.5,0.5,0,1,5,5,2,0,5,0,0,0,3,25,VALID,0.0,0.023035
full_minus_planning,101,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,26,VALID,0.0,0.022154
full_minus_interaction,101,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,26,VALID,0.0,0.021992
full,202,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,26,VALID,0.0,0.022338
full_minus_memory,202,PILOT,v6,2,4,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,26,VALID,0.0,0.021874
full_minus_feedback,202,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,26,VALID,0.0,0.022136
full_minus_planning,202,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,26,VALID,0.0,0.022228
full_minus_interaction,202,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,26,VALID,0.0,0.022084
