condition,seed,status,metric_protocol_version,n_households,n_decision_residents,warning_exposed_coordinator_count,warning_retained_coordinator_count,conditional_warning_retention_rate,warning_retention_rate,planned_primary_count,updated_alternate_count,primary_to_alternate_update_rate,successful_replan_rate,replanned_household_count,compatible_commitment_rate,feasible_commitment_formation_count,feasible_commitment_formation_rate,post_closure_feasible_commitment_count,post_closure_feasible_commitment_rate,coordinated_departure_rate,uncoordinated_departure_rate,resource_conflict_rejections_per_household,dependent_left_behind_rejections,accepted_message_receipts,delivered_message_receipts,processed_message_receipts,rejected_message_receipts,unprocessed_message_receipts,messages_sent,dropped_message_deliveries,invalid_proposal_attempts,invalid_acceptance_attempts,realized_closure_step,n_logical_decisions,run_terminal_status,fallback_rate,cost_usd
full,101,PILOT,v6,2,4,2,2,1.0,1.0,1,1,1.0,1.0,2,1.0,2,1.0,2,1.0,1.0,0.0,0.0,0,4,12,10,0,2,12,0,0,0,3,17,VALID,0.0,0.034138
full_minus_memory,101,PILOT,v6,2,4,2,0,0.0,0.0,3,3,1.0,1.0,2,1.0,2,1.0,2,1.0,1.0,0.0,0.0,0,4,13,11,0,2,13,0,0,0,3,16,VALID,0.0,0.032074
full_minus_feedback,101,PILOT,v6,2,4,2,2,1.0,1.0,3,1,0.3333333333333333,0.0,0,0.0,2,1.0,0,0.0,0.0,1.0,5.0,0,3,20,5,0,15,20,0,0,0,3,20,VALID,0.0,0.040202
full_minus_planning,101,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.5,2,1.0,1,0.5,0.5,0.5,2.0,0,3,15,10,0,5,15,0,0,0,3,21,VALID,0.0,0.04126
full_minus_interaction,101,PILOT,v6,2,4,2,2,1.0,1.0,1,1,1.0,1.0,2,0.0,0,0.0,0,0.0,0.0,1.0,1.5,0,0,0,0,0,0,0,0,0,0,3,22,VALID,0.0,0.037574
full,202,PILOT,v6,2,4,2,2,1.0,1.0,4,4,1.0,1.0,2,0.0,2,1.0,0,0.0,0.0,1.0,3.0,0,3,18,10,0,8,18,0,0,0,4,26,VALID,0.0,0.051546
full_minus_memory,202,PILOT,v6,2,4,2,0,0.0,0.0,3,2,0.6666666666666666,0.5,1,0.0,2,1.0,0,0.0,0.0,1.0,4.5,0,2,20,8,0,12,20,0,0,0,4,23,VALID,0.0,0.045732
full_minus_feedback,202,PILOT,v6,2,4,2,2,1.0,1.0,4,4,1.0,1.0,2,0.5,2,1.0,1,0.5,0.5,0.5,3.0,0,4,17,9,0,8,17,0,0,0,4,21,VALID,0.0,0.042284
full_minus_planning,202,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,2,1.0,0,0.0,0.0,1.0,6.0,0,2,19,9,0,10,19,0,0,0,4,26,VALID,0.0,0.051268
full_minus_interaction,202,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,1.0,2,0.0,0,0.0,0,0.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,4,20,VALID,0.0,0.034394
