condition,seed,status,metric_protocol_version,n_households,n_decision_residents,warning_exposed_coordinator_count,warning_retained_coordinator_count,conditional_warning_retention_rate,warning_retention_rate,planned_primary_count,updated_alternate_count,primary_to_alternate_update_rate,successful_replan_rate,replanned_household_count,compatible_commitment_rate,feasible_commitment_formation_count,feasible_commitment_formation_rate,post_closure_feasible_commitment_count,post_closure_feasible_commitment_rate,coordinated_departure_rate,uncoordinated_departure_rate,resource_conflict_rejections_per_household,dependent_left_behind_rejections,accepted_message_receipts,delivered_message_receipts,processed_message_receipts,rejected_message_receipts,unprocessed_message_receipts,messages_sent,dropped_message_deliveries,invalid_proposal_attempts,invalid_acceptance_attempts,realized_closure_step,n_logical_decisions,run_terminal_status,fallback_rate,cost_usd
full,101,PILOT,v6,2,4,2,2,1.0,1.0,3,3,1.0,1.0,2,1.0,2,1.0,2,1.0,1.0,0.0,0.0,0,8,10,10,0,0,10,0,0,0,3,18,VALID,0.0,0.042986
full_minus_memory,101,PILOT,v6,2,4,2,0,0.0,0.0,4,4,1.0,1.0,2,1.0,2,1.0,2,1.0,1.0,0.0,0.0,0,10,11,11,0,0,12,0,0,0,3,18,VALID,0.0,0.042502
full_minus_feedback,101,PILOT,v6,2,4,2,2,1.0,1.0,4,4,1.0,1.0,2,1.0,2,1.0,2,1.0,1.0,0.0,0.0,0,9,12,11,0,1,12,0,0,0,3,18,VALID,0.0,0.043464
full_minus_planning,101,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.5,2,1.0,1,0.5,0.5,0.5,3.0,0,9,16,11,0,5,16,0,0,0,3,21,VALID,0.0,0.049972
full_minus_interaction,101,PILOT,v6,2,4,2,2,1.0,1.0,2,2,1.0,1.0,2,0.0,0,0.0,0,0.0,0.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,3,22,VALID,0.0,0.044324
full,202,PILOT,v6,2,4,2,2,1.0,1.0,4,4,1.0,1.0,2,0.0,2,1.0,0,0.0,0.0,1.0,4.5,0,10,18,12,1,6,20,0,1,1,4,29,VALID,0.0,0.070532
full_minus_memory,202,PILOT,v6,2,4,2,0,0.0,0.0,3,3,1.0,1.0,2,1.0,2,1.0,2,1.0,0.0,1.0,5.0,0,9,10,9,0,1,10,0,0,0,4,28,VALID,0.0,0.063802
full_minus_feedback,202,PILOT,v6,2,4,2,2,1.0,1.0,4,4,1.0,1.0,2,0.5,2,1.0,1,0.5,0.5,0.5,1.0,0,9,15,10,0,5,17,0,0,0,4,23,VALID,0.0,0.055882
full_minus_planning,202,PILOT,v6,2,4,2,2,1.0,1.0,0,0,0.0,0.0,0,0.0,2,1.0,0,0.0,0.0,1.0,5.0,0,7,13,7,0,6,15,0,0,0,4,26,VALID,0.0,0.0601
full_minus_interaction,202,PILOT,v6,2,4,2,2,1.0,1.0,2,2,1.0,1.0,2,0.0,0,0.0,0,0.0,0.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,4,22,VALID,0.0,0.045442
