condition,seed,status,n_households,n_decision_residents,warning_retention_rate,primary_to_alternate_update_rate,successful_replan_rate,compatible_commitment_rate,coordinated_departure_rate,uncoordinated_departure_rate,resource_conflict_rejections_per_household,dependent_left_behind_rejections,accepted_message_receipts,n_logical_decisions,run_terminal_status,fallback_rate,cost_usd
full,101,PILOT,20,40,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_memory,101,PILOT,20,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_feedback,101,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,300,VALID,0.0,0.0
full_minus_planning,101,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,180,VALID,0.0,0.0
full_minus_interaction,101,PILOT,20,40,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0,0,180,VALID,0.0,0.0
full,202,PILOT,20,40,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_memory,202,PILOT,20,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_feedback,202,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,300,VALID,0.0,0.0
full_minus_planning,202,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,180,VALID,0.0,0.0
full_minus_interaction,202,PILOT,20,40,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0,0,180,VALID,0.0,0.0
full,303,PILOT,20,40,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_memory,303,PILOT,20,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_feedback,303,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,300,VALID,0.0,0.0
full_minus_planning,303,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,180,VALID,0.0,0.0
full_minus_interaction,303,PILOT,20,40,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0,0,180,VALID,0.0,0.0
full,404,PILOT,20,40,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_memory,404,PILOT,20,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_feedback,404,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,300,VALID,0.0,0.0
full_minus_planning,404,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,180,VALID,0.0,0.0
full_minus_interaction,404,PILOT,20,40,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0,0,180,VALID,0.0,0.0
full,505,PILOT,20,40,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_memory,505,PILOT,20,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,80,180,VALID,0.0,0.0
full_minus_feedback,505,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,40,300,VALID,0.0,0.0
full_minus_planning,505,PILOT,20,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,180,VALID,0.0,0.0
full_minus_interaction,505,PILOT,20,40,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0,0,180,VALID,0.0,0.0
