condition,seed,status,metric_protocol_version,n_households,n_decision_residents,warning_exposed_coordinator_count,warning_retained_coordinator_count,conditional_warning_retention_rate,warning_retention_rate,planned_primary_count,updated_alternate_count,primary_to_alternate_update_rate,successful_replan_rate,replanned_household_count,compatible_commitment_rate,feasible_commitment_formation_count,feasible_commitment_formation_rate,post_closure_feasible_commitment_count,post_closure_feasible_commitment_rate,coordinated_departure_rate,uncoordinated_departure_rate,resource_conflict_rejections_per_household,dependent_left_behind_rejections,accepted_message_receipts,delivered_message_receipts,processed_message_receipts,rejected_message_receipts,unprocessed_message_receipts,messages_sent,dropped_message_deliveries,invalid_proposal_attempts,invalid_acceptance_attempts,realized_closure_step,n_logical_decisions,run_terminal_status,fallback_rate,cost_usd
full,101,PILOT,v6,20,40,20,20,1.0,1.0,40,40,1.0,1.0,20,1.0,20,1.0,20,1.0,1.0,0.0,0.0,0,40,40,40,0,0,40,0,0,0,3,180,VALID,0.0,0.0
full_minus_memory,101,PILOT,v6,20,40,20,0,0.0,0.0,40,40,1.0,1.0,20,1.0,20,1.0,20,1.0,1.0,0.0,0.0,0,40,40,40,0,0,40,0,0,0,3,180,VALID,0.0,0.0
full_minus_feedback,101,PILOT,v6,20,40,20,20,1.0,1.0,40,0,0.0,0.0,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0,20,20,20,0,0,20,0,0,0,3,380,VALID,0.0,0.0
full_minus_planning,101,PILOT,v6,20,40,20,20,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,260,VALID,0.0,0.0
full_minus_interaction,101,PILOT,v6,20,40,20,20,1.0,1.0,20,20,1.0,1.0,20,0.0,0,0.0,0,0.0,0.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,3,220,VALID,0.0,0.0
full,202,PILOT,v6,20,40,20,20,1.0,1.0,40,40,1.0,1.0,20,1.0,20,1.0,20,1.0,1.0,0.0,0.0,0,40,40,40,0,0,40,0,0,0,4,220,VALID,0.0,0.0
full_minus_memory,202,PILOT,v6,20,40,20,0,0.0,0.0,40,40,1.0,1.0,20,1.0,20,1.0,20,1.0,1.0,0.0,0.0,0,40,40,40,0,0,40,0,0,0,4,220,VALID,0.0,0.0
full_minus_feedback,202,PILOT,v6,20,40,20,20,1.0,1.0,40,0,0.0,0.0,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0,20,20,20,0,0,20,0,0,0,4,380,VALID,0.0,0.0
full_minus_planning,202,PILOT,v6,20,40,20,20,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,260,VALID,0.0,0.0
full_minus_interaction,202,PILOT,v6,20,40,20,20,1.0,1.0,20,20,1.0,1.0,20,0.0,0,0.0,0,0.0,0.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,4,220,VALID,0.0,0.0
full,303,PILOT,v6,20,40,20,20,1.0,1.0,40,40,1.0,1.0,20,1.0,20,1.0,20,1.0,1.0,0.0,0.0,0,40,40,40,0,0,40,0,0,0,3,180,VALID,0.0,0.0
full_minus_memory,303,PILOT,v6,20,40,20,0,0.0,0.0,40,40,1.0,1.0,20,1.0,20,1.0,20,1.0,1.0,0.0,0.0,0,40,40,40,0,0,40,0,0,0,3,180,VALID,0.0,0.0
full_minus_feedback,303,PILOT,v6,20,40,20,20,1.0,1.0,40,0,0.0,0.0,0,0.0,20,1.0,0,0.0,0.0,0.0,0.0,0,20,20,20,0,0,20,0,0,0,3,380,VALID,0.0,0.0
full_minus_planning,303,PILOT,v6,20,40,20,20,1.0,1.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,260,VALID,0.0,0.0
full_minus_interaction,303,PILOT,v6,20,40,20,20,1.0,1.0,20,20,1.0,1.0,20,0.0,0,0.0,0,0.0,0.0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,3,220,VALID,0.0,0.0
full,404,PILOT,v6,20,40,20,20,1.0,1.0,40,40,1.0,1.0,20,1.0,20,1.0,20,1.0,1.0,0.0,0.0,0,40,40,40,0,0,40,0,0,0,3,180,VALID,0.0,0.0
