condition,seed,status,n_households,n_decision_residents,warning_retention_rate,primary_to_alternate_update_rate,successful_replan_rate,compatible_commitment_rate,coordinated_departure_rate,uncoordinated_departure_rate,resource_conflict_rejections_per_household,dependent_left_behind_rejections,accepted_message_receipts,delivered_message_receipts,dropped_message_deliveries,realized_closure_step,n_logical_decisions,run_terminal_status,fallback_rate,cost_usd
full,101,PILOT,20,40,0.9,1.0,0.9,0.95,0.9,0.0,0.0,0,48,50,43,3,196,VALID,0.0,0.0
full_minus_memory,101,PILOT,20,40,0.0,1.0,0.9,0.95,0.9,0.0,0.0,0,48,50,43,3,196,VALID,0.0,0.0
full_minus_feedback,101,PILOT,20,40,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,24,24,26,3,278,VALID,0.0,0.0
full_minus_planning,101,PILOT,20,40,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,178,VALID,0.0,0.0
full_minus_interaction,101,PILOT,20,40,0.9,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,3,180,VALID,0.0,0.0
full,202,PILOT,20,40,0.75,0.4,0.3,0.3,0.9,0.0,0.0,0,31,33,41,6,172,VALID,0.0,0.0
full_minus_memory,202,PILOT,20,40,0.0,0.4,0.3,0.3,0.9,0.0,0.0,0,31,33,41,6,172,VALID,0.0,0.0
full_minus_feedback,202,PILOT,20,40,0.75,0.0,0.0,0.0,0.6,0.0,0.0,0,27,27,37,6,172,VALID,0.0,0.0
full_minus_planning,202,PILOT,20,40,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,175,VALID,0.0,0.0
full_minus_interaction,202,PILOT,20,40,0.75,0.7,0.4,0.0,0.0,1.0,4.0,0,0,0,0,6,168,VALID,0.0,0.0
full,303,PILOT,20,40,0.8,1.0,0.95,1.0,0.95,0.0,0.0,0,46,47,50,3,200,VALID,0.0,0.0
full_minus_memory,303,PILOT,20,40,0.0,1.0,0.95,1.0,0.95,0.0,0.0,0,46,47,50,3,200,VALID,0.0,0.0
full_minus_feedback,303,PILOT,20,40,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0,31,32,31,3,256,VALID,0.0,0.0
full_minus_planning,303,PILOT,20,40,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,176,VALID,0.0,0.0
full_minus_interaction,303,PILOT,20,40,0.8,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,3,172,VALID,0.0,0.0
full,404,PILOT,20,40,0.9,1.0,0.8,0.95,0.8,0.0,0.0,0,37,38,70,3,204,VALID,0.0,0.0
full_minus_memory,404,PILOT,20,40,0.0,1.0,0.8,0.95,0.8,0.0,0.0,0,37,38,70,3,204,VALID,0.0,0.0
full_minus_feedback,404,PILOT,20,40,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,30,31,35,3,262,VALID,0.0,0.0
full_minus_planning,404,PILOT,20,40,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,178,VALID,0.0,0.0
full_minus_interaction,404,PILOT,20,40,0.9,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,3,180,VALID,0.0,0.0
