condition,seed,status,n_households,n_decision_residents,warning_retention_rate,primary_to_alternate_update_rate,successful_replan_rate,compatible_commitment_rate,coordinated_departure_rate,uncoordinated_departure_rate,resource_conflict_rejections_per_household,dependent_left_behind_rejections,accepted_message_receipts,delivered_message_receipts,dropped_message_deliveries,realized_closure_step,n_logical_decisions,run_terminal_status,fallback_rate,cost_usd
full,101,PILOT,20,40,0.4,1.0,0.4,0.45,0.4,0.0,0.0,0,14,16,78,3,182,VALID,0.0,0.0
full_minus_memory,101,PILOT,20,40,0.0,1.0,0.4,0.45,0.4,0.0,0.0,0,14,16,78,3,182,VALID,0.0,0.0
full_minus_feedback,101,PILOT,20,40,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,17,17,56,3,203,VALID,0.0,0.0
full_minus_planning,101,PILOT,20,40,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,168,VALID,0.0,0.0
full_minus_interaction,101,PILOT,20,40,0.4,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,3,162,VALID,0.0,0.0
full,202,PILOT,20,40,0.2,0.95,0.1,0.2,0.15,0.0,0.0,0,13,14,76,6,171,VALID,0.0,0.0
full_minus_memory,202,PILOT,20,40,0.0,0.95,0.1,0.2,0.15,0.0,0.0,0,13,14,76,6,171,VALID,0.0,0.0
full_minus_feedback,202,PILOT,20,40,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0,12,13,63,6,171,VALID,0.0,0.0
full_minus_planning,202,PILOT,20,40,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,164,VALID,0.0,0.0
full_minus_interaction,202,PILOT,20,40,0.2,0.875,0.75,0.0,0.0,1.0,4.0,0,0,0,0,6,146,VALID,0.0,0.0
full,303,PILOT,20,40,0.15,1.0,0.25,0.4,0.25,0.0,0.0,0,9,10,71,3,164,VALID,0.0,0.0
full_minus_memory,303,PILOT,20,40,0.0,1.0,0.25,0.4,0.25,0.0,0.0,0,9,10,71,3,164,VALID,0.0,0.0
full_minus_feedback,303,PILOT,20,40,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0,7,12,64,3,176,VALID,0.0,0.0
full_minus_planning,303,PILOT,20,40,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,163,VALID,0.0,0.0
full_minus_interaction,303,PILOT,20,40,0.15,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,3,142,VALID,0.0,0.0
full,404,PILOT,20,40,0.6,1.0,0.35,0.45,0.35,0.0,0.0,0,12,13,98,3,194,VALID,0.0,0.0
full_minus_memory,404,PILOT,20,40,0.0,1.0,0.35,0.45,0.35,0.0,0.0,0,12,13,98,3,194,VALID,0.0,0.0
full_minus_feedback,404,PILOT,20,40,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,9,14,98,3,214,VALID,0.0,0.0
full_minus_planning,404,PILOT,20,40,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,172,VALID,0.0,0.0
full_minus_interaction,404,PILOT,20,40,0.6,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,3,178,VALID,0.0,0.0
full,505,PILOT,20,40,0.5,1.0,0.3,0.4,0.3,0.0,0.0,0,15,16,91,4,205,VALID,0.0,0.0
full_minus_memory,505,PILOT,20,40,0.0,1.0,0.3,0.4,0.3,0.0,0.0,0,15,16,91,4,205,VALID,0.0,0.0
full_minus_feedback,505,PILOT,20,40,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,12,13,66,4,213,VALID,0.0,0.0
full_minus_planning,505,PILOT,20,40,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,170,VALID,0.0,0.0
full_minus_interaction,505,PILOT,20,40,0.5,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,4,170,VALID,0.0,0.0
full,606,PILOT,20,40,0.65,1.0,0.3,0.35,0.3,0.0,0.0,0,13,14,107,5,210,VALID,0.0,0.0
full_minus_memory,606,PILOT,20,40,0.0,1.0,0.3,0.35,0.3,0.0,0.0,0,13,14,107,5,210,VALID,0.0,0.0
full_minus_feedback,606,PILOT,20,40,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0,8,10,107,5,216,VALID,0.0,0.0
full_minus_planning,606,PILOT,20,40,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,173,VALID,0.0,0.0
full_minus_interaction,606,PILOT,20,40,0.65,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,5,182,VALID,0.0,0.0
full,707,PILOT,20,40,0.4,1.0,0.35,0.45,0.35,0.0,0.0,0,15,18,82,4,194,VALID,0.0,0.0
full_minus_memory,707,PILOT,20,40,0.0,1.0,0.35,0.45,0.35,0.0,0.0,0,15,18,82,4,194,VALID,0.0,0.0
full_minus_feedback,707,PILOT,20,40,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,13,15,69,4,200,VALID,0.0,0.0
full_minus_planning,707,PILOT,20,40,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,168,VALID,0.0,0.0
full_minus_interaction,707,PILOT,20,40,0.4,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,4,162,VALID,0.0,0.0
full,808,PILOT,20,40,0.25,1.0,0.25,0.45,0.25,0.0,0.0,0,12,13,79,5,182,VALID,0.0,0.0
full_minus_memory,808,PILOT,20,40,0.0,1.0,0.25,0.45,0.25,0.0,0.0,0,12,13,79,5,182,VALID,0.0,0.0
full_minus_feedback,808,PILOT,20,40,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,7,7,78,5,184,VALID,0.0,0.0
full_minus_planning,808,PILOT,20,40,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,165,VALID,0.0,0.0
full_minus_interaction,808,PILOT,20,40,0.25,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,5,150,VALID,0.0,0.0
full,909,PILOT,20,40,0.3,1.0,0.25,0.4,0.25,0.0,0.0,0,16,17,74,5,183,VALID,0.0,0.0
full_minus_memory,909,PILOT,20,40,0.0,1.0,0.25,0.4,0.25,0.0,0.0,0,16,17,74,5,183,VALID,0.0,0.0
full_minus_feedback,909,PILOT,20,40,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,15,16,58,5,191,VALID,0.0,0.0
full_minus_planning,909,PILOT,20,40,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,166,VALID,0.0,0.0
full_minus_interaction,909,PILOT,20,40,0.3,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,5,154,VALID,0.0,0.0
full,1010,PILOT,20,40,0.4,0.75,0.1,0.1,0.35,0.0,0.0,0,12,12,71,6,174,VALID,0.0,0.0
full_minus_memory,1010,PILOT,20,40,0.0,0.75,0.1,0.1,0.35,0.0,0.0,0,12,12,71,6,174,VALID,0.0,0.0
full_minus_feedback,1010,PILOT,20,40,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0,16,16,57,6,174,VALID,0.0,0.0
full_minus_planning,1010,PILOT,20,40,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,168,VALID,0.0,0.0
full_minus_interaction,1010,PILOT,20,40,0.4,0.875,0.75,0.0,0.0,1.0,4.0,0,0,0,0,6,162,VALID,0.0,0.0
