condition,seed,status,n_households,n_decision_residents,warning_retention_rate,primary_to_alternate_update_rate,successful_replan_rate,compatible_commitment_rate,coordinated_departure_rate,uncoordinated_departure_rate,resource_conflict_rejections_per_household,dependent_left_behind_rejections,accepted_message_receipts,delivered_message_receipts,dropped_message_deliveries,realized_closure_step,n_logical_decisions,run_terminal_status,fallback_rate,cost_usd
full,101,PILOT,20,40,0.7,1.0,0.55,0.65,0.55,0.0,0.0,0,23,25,78,3,191,VALID,0.0,0.0
full_minus_memory,101,PILOT,20,40,0.0,1.0,0.55,0.65,0.55,0.0,0.0,0,23,25,78,3,191,VALID,0.0,0.0
full_minus_feedback,101,PILOT,20,40,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,21,23,52,3,234,VALID,0.0,0.0
full_minus_planning,101,PILOT,20,40,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,174,VALID,0.0,0.0
full_minus_interaction,101,PILOT,20,40,0.7,1.0,1.0,0.0,0.0,1.0,4.0,0,0,0,0,3,172,VALID,0.0,0.0
full,202,PILOT,20,40,0.35,1.0,0.25,0.45,0.25,0.0,0.0,0,16,21,82,6,188,VALID,0.0,0.0
full_minus_memory,202,PILOT,20,40,0.0,1.0,0.25,0.45,0.25,0.0,0.0,0,16,21,82,6,188,VALID,0.0,0.0
full_minus_feedback,202,PILOT,20,40,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0,18,18,69,6,188,VALID,0.0,0.0
full_minus_planning,202,PILOT,20,40,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,167,VALID,0.0,0.0
full_minus_interaction,202,PILOT,20,40,0.35,0.8,0.6,0.0,0.0,1.0,4.0,0,0,0,0,6,144,VALID,0.0,0.0
full,303,PILOT,20,40,0.3,1.0,0.5,0.55,0.5,0.0,0.0,0,16,18,63,3,166,VALID,0.0,0.0
full_minus_memory,303,PILOT,20,40,0.0,1.0,0.5,0.55,0.5,0.0,0.0,0,16,18,63,3,166,VALID,0.0,0.0
full_minus_feedback,303,PILOT,20,40,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,15,18,50,3,193,VALID,0.0,0.0
full_minus_planning,303,PILOT,20,40,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,166,VALID,0.0,0.0
