step,hours,official_recipients,first_departures,joint_agreement_households,joint_execution_households,active_private_plans,all_safe_households,official_recipient_share,first_departure_share,all_safe_household_share,joint_agreement_household_share,joint_execution_household_share
1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1.5,1,0,0,0,1,0,0.14285714285714285,0.0,0.0,0.0,0.0
4,2.0,1,0,0,0,1,0,0.14285714285714285,0.0,0.0,0.0,0.0
5,2.5,1,0,0,0,1,0,0.14285714285714285,0.0,0.0,0.0,0.0
6,3.0,1,0,0,0,1,0,0.14285714285714285,0.0,0.0,0.0,0.0
7,3.5,3,1,0,0,2,1,0.42857142857142855,0.14285714285714285,0.25,0.0,0.0
8,4.0,3,2,0,0,1,1,0.42857142857142855,0.2857142857142857,0.25,0.0,0.0
9,4.5,3,2,0,0,1,1,0.42857142857142855,0.2857142857142857,0.25,0.0,0.0
10,5.0,3,2,0,0,1,1,0.42857142857142855,0.2857142857142857,0.25,0.0,0.0
11,5.5,3,2,0,0,2,1,0.42857142857142855,0.2857142857142857,0.25,0.0,0.0
12,6.0,3,2,0,0,3,1,0.42857142857142855,0.2857142857142857,0.25,0.0,0.0
