step,hours,official_recipients,first_departures,joint_agreement_households,joint_execution_households,active_private_plans,all_safe_households,official_recipient_share,first_departure_share,all_safe_household_share,joint_agreement_household_share,joint_execution_household_share
1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1.5,5,1,0,0,4,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.0,0.0
4,2.0,5,1,0,0,4,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.0,0.0
5,2.5,5,1,0,0,4,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.0,0.0
6,3.0,5,2,0,0,3,2,0.16129032258064516,0.06451612903225806,0.08333333333333333,0.0,0.0
7,3.5,17,7,0,0,10,6,0.5483870967741935,0.22580645161290322,0.25,0.0,0.0
8,4.0,17,7,2,0,12,6,0.5483870967741935,0.22580645161290322,0.25,0.2857142857142857,0.0
9,4.5,17,7,3,0,13,6,0.5483870967741935,0.22580645161290322,0.25,0.42857142857142855,0.0
10,5.0,17,7,3,0,14,6,0.5483870967741935,0.22580645161290322,0.25,0.42857142857142855,0.0
11,5.5,17,8,3,0,13,6,0.5483870967741935,0.25806451612903225,0.25,0.42857142857142855,0.0
12,6.0,17,10,3,1,11,7,0.5483870967741935,0.3225806451612903,0.2916666666666667,0.42857142857142855,0.14285714285714285
13,6.5,17,10,3,1,11,7,0.5483870967741935,0.3225806451612903,0.2916666666666667,0.42857142857142855,0.14285714285714285
14,7.0,17,12,3,2,9,8,0.5483870967741935,0.3870967741935484,0.3333333333333333,0.42857142857142855,0.2857142857142857
