step,hours,official_recipients,first_departures,joint_agreement_households,joint_execution_households,active_private_plans,all_safe_households,official_recipient_share,first_departure_share,all_safe_household_share,joint_agreement_household_share,joint_execution_household_share
1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1.5,5,0,0,0,5,0,0.16129032258064516,0.0,0.0,0.0,0.0
4,2.0,5,0,0,0,5,0,0.16129032258064516,0.0,0.0,0.0,0.0
5,2.5,5,1,1,0,5,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.14285714285714285,0.0
6,3.0,5,3,1,1,3,2,0.16129032258064516,0.0967741935483871,0.08333333333333333,0.14285714285714285,0.14285714285714285
7,3.5,17,11,1,1,7,9,0.5483870967741935,0.3548387096774194,0.375,0.14285714285714285,0.14285714285714285
8,4.0,17,11,2,1,8,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9,4.5,17,11,2,1,8,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
10,5.0,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
11,5.5,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
12,6.0,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
