step,hours,official_recipients,first_departures,joint_agreement_households,joint_execution_households,active_private_plans,all_safe_households,official_recipient_share,first_departure_share,all_safe_household_share,joint_agreement_household_share,joint_execution_household_share
1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1.5,5,0,0,0,0,0,0.16129032258064516,0.0,0.0,0.0,0.0
4,2.0,5,0,0,0,0,0,0.16129032258064516,0.0,0.0,0.0,0.0
5,2.5,5,0,0,0,0,0,0.16129032258064516,0.0,0.0,0.0,0.0
6,3.0,5,0,0,0,0,0,0.16129032258064516,0.0,0.0,0.0,0.0
7,3.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
8,4.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
9,4.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
10,5.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
11,5.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
12,6.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
13,6.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
14,7.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
15,7.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
16,8.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
17,8.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
18,9.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
19,9.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
20,10.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
21,10.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
22,11.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
23,11.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
24,12.0,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
25,12.5,17,0,0,0,0,0,0.5483870967741935,0.0,0.0,0.0,0.0
