run,step,resident_id,structural_source_violations,reasons
24hh_seed7201,3,syn_t001_h0000004_r001,0,
24hh_seed7201,3,syn_t001_h0000008_r001,0,
24hh_seed7201,3,syn_t002_h0000009_r001,0,
24hh_seed7201,3,syn_t002_h0000011_r001,0,
24hh_seed7201,3,syn_t002_h0000012_r001,0,
24hh_seed7201,4,syn_t001_h0000004_r001,0,
24hh_seed7201,4,syn_t002_h0000009_r001,0,
24hh_seed7201,4,syn_t002_h0000011_r001,0,
24hh_seed7201,4,syn_t002_h0000012_r001,0,
24hh_seed7201,5,syn_t001_h0000004_r001,0,
24hh_seed7201,5,syn_t002_h0000009_r001,0,
24hh_seed7201,5,syn_t002_h0000011_r001,0,
24hh_seed7201,5,syn_t002_h0000012_r001,0,
24hh_seed7201,6,syn_t001_h0000004_r001,0,
24hh_seed7201,6,syn_t002_h0000009_r001,0,
24hh_seed7201,6,syn_t002_h0000011_r001,0,
24hh_seed7201,6,syn_t002_h0000012_r001,0,
24hh_seed7201,7,syn_t001_h0000002_r001,0,
24hh_seed7201,7,syn_t001_h0000003_r001,0,
24hh_seed7201,7,syn_t001_h0000005_r001,0,
24hh_seed7201,7,syn_t001_h0000006_r001,0,
24hh_seed7201,7,syn_t001_h0000007_r001,0,
24hh_seed7201,7,syn_t002_h0000001_r001,0,
24hh_seed7201,7,syn_t002_h0000002_r001,0,
24hh_seed7201,7,syn_t002_h0000003_r001,0,
24hh_seed7201,7,syn_t002_h0000004_r001,0,
24hh_seed7201,7,syn_t002_h0000005_r001,0,
24hh_seed7201,7,syn_t002_h0000009_r001,0,
24hh_seed7201,7,syn_t002_h0000011_r001,0,
24hh_seed7201,7,syn_t002_h0000012_r001,0,
24hh_seed7201,7,syn_t002_h0000013_r001,0,
24hh_seed7201,7,syn_t002_h0000014_r001,0,
24hh_seed7201,8,syn_t001_h0000005_r001,0,
24hh_seed7201,8,syn_t001_h0000007_r001,0,
24hh_seed7201,8,syn_t002_h0000001_r001,0,
24hh_seed7201,8,syn_t002_h0000003_r001,0,
24hh_seed7201,8,syn_t002_h0000004_r001,0,
24hh_seed7201,8,syn_t002_h0000009_r001,0,
24hh_seed7201,8,syn_t002_h0000011_r001,0,
24hh_seed7201,8,syn_t002_h0000012_r001,0,
24hh_seed7201,8,syn_t002_h0000013_r001,0,
24hh_seed7201,8,syn_t002_h0000013_r003,0,
24hh_seed7201,8,syn_t002_h0000014_r001,0,
24hh_seed7201,8,syn_t002_h0000014_r002,0,
24hh_seed7201,9,syn_t001_h0000005_r001,0,
24hh_seed7201,9,syn_t001_h0000007_r001,0,
24hh_seed7201,9,syn_t002_h0000001_r001,0,
24hh_seed7201,9,syn_t002_h0000003_r001,0,
24hh_seed7201,9,syn_t002_h0000004_r001,0,
24hh_seed7201,9,syn_t002_h0000009_r001,0,
24hh_seed7201,9,syn_t002_h0000009_r002,0,
24hh_seed7201,9,syn_t002_h0000011_r001,0,
24hh_seed7201,9,syn_t002_h0000012_r001,0,
24hh_seed7201,9,syn_t002_h0000013_r001,0,
24hh_seed7201,9,syn_t002_h0000013_r003,0,
24hh_seed7201,9,syn_t002_h0000014_r001,0,
24hh_seed7201,9,syn_t002_h0000014_r002,0,
24hh_seed7201,10,syn_t001_h0000002_r002,0,
24hh_seed7201,10,syn_t001_h0000005_r001,0,
24hh_seed7201,10,syn_t001_h0000007_r001,0,
24hh_seed7201,10,syn_t002_h0000001_r001,0,
24hh_seed7201,10,syn_t002_h0000003_r001,0,
24hh_seed7201,10,syn_t002_h0000004_r001,0,
24hh_seed7201,10,syn_t002_h0000009_r001,0,
24hh_seed7201,10,syn_t002_h0000009_r002,0,
24hh_seed7201,10,syn_t002_h0000011_r001,0,
24hh_seed7201,10,syn_t002_h0000012_r001,0,
24hh_seed7201,10,syn_t002_h0000013_r001,0,
24hh_seed7201,10,syn_t002_h0000013_r003,0,
24hh_seed7201,10,syn_t002_h0000014_r001,0,
24hh_seed7201,10,syn_t002_h0000014_r002,0,
24hh_seed7201,11,syn_t001_h0000002_r002,0,
24hh_seed7201,11,syn_t001_h0000005_r001,0,
24hh_seed7201,11,syn_t001_h0000007_r001,0,
24hh_seed7201,11,syn_t002_h0000001_r001,0,
24hh_seed7201,11,syn_t002_h0000003_r001,0,
24hh_seed7201,11,syn_t002_h0000004_r001,0,
24hh_seed7201,11,syn_t002_h0000009_r001,0,
24hh_seed7201,11,syn_t002_h0000009_r002,0,
24hh_seed7201,11,syn_t002_h0000011_r001,0,
24hh_seed7201,11,syn_t002_h0000012_r001,0,
24hh_seed7201,11,syn_t002_h0000013_r001,0,
24hh_seed7201,11,syn_t002_h0000013_r003,0,
24hh_seed7201,11,syn_t002_h0000014_r001,0,
24hh_seed7201,11,syn_t002_h0000014_r002,0,
24hh_seed7201,12,syn_t001_h0000002_r002,0,
24hh_seed7201,12,syn_t001_h0000005_r001,0,
24hh_seed7201,12,syn_t001_h0000007_r001,0,
24hh_seed7201,12,syn_t002_h0000001_r001,0,
24hh_seed7201,12,syn_t002_h0000003_r001,0,
24hh_seed7201,12,syn_t002_h0000004_r001,0,
24hh_seed7201,12,syn_t002_h0000009_r002,0,
24hh_seed7201,12,syn_t002_h0000011_r001,0,
24hh_seed7201,12,syn_t002_h0000012_r001,0,
24hh_seed7201,12,syn_t002_h0000013_r001,0,
24hh_seed7201,12,syn_t002_h0000013_r003,0,
24hh_seed7201,12,syn_t002_h0000014_r001,0,
24hh_seed7201,12,syn_t002_h0000014_r002,0,
24hh_seed7201,13,syn_t001_h0000002_r002,0,
24hh_seed7201,13,syn_t001_h0000005_r001,0,
24hh_seed7201,13,syn_t001_h0000007_r001,0,
24hh_seed7201,13,syn_t002_h0000001_r001,0,
24hh_seed7201,13,syn_t002_h0000003_r001,0,
24hh_seed7201,13,syn_t002_h0000004_r001,0,
24hh_seed7201,13,syn_t002_h0000009_r002,0,
24hh_seed7201,13,syn_t002_h0000011_r001,0,
24hh_seed7201,13,syn_t002_h0000012_r001,0,
24hh_seed7201,13,syn_t002_h0000013_r001,0,
24hh_seed7201,13,syn_t002_h0000013_r003,0,
24hh_seed7201,14,syn_t001_h0000002_r002,0,
24hh_seed7201,14,syn_t001_h0000005_r001,0,
24hh_seed7201,14,syn_t001_h0000007_r001,0,
24hh_seed7201,14,syn_t002_h0000001_r001,0,
24hh_seed7201,14,syn_t002_h0000003_r001,0,
24hh_seed7201,14,syn_t002_h0000004_r001,0,
24hh_seed7201,14,syn_t002_h0000009_r002,0,
24hh_seed7201,14,syn_t002_h0000011_r001,0,
24hh_seed7201,14,syn_t002_h0000012_r001,0,
24hh_seed7201,14,syn_t002_h0000013_r001,0,
24hh_seed7201,14,syn_t002_h0000013_r003,0,
24hh_seed7201,15,syn_t001_h0000002_r002,0,
24hh_seed7201,15,syn_t001_h0000005_r001,0,
24hh_seed7201,15,syn_t001_h0000007_r001,0,
24hh_seed7201,15,syn_t002_h0000001_r001,0,
24hh_seed7201,15,syn_t002_h0000003_r001,0,
24hh_seed7201,15,syn_t002_h0000004_r001,0,
24hh_seed7201,15,syn_t002_h0000009_r002,0,
24hh_seed7201,15,syn_t002_h0000011_r001,0,
24hh_seed7201,15,syn_t002_h0000012_r001,0,
24hh_seed7201,16,syn_t001_h0000002_r002,0,
24hh_seed7201,16,syn_t001_h0000005_r001,0,
24hh_seed7201,16,syn_t001_h0000007_r001,0,
24hh_seed7201,16,syn_t002_h0000001_r001,0,
24hh_seed7201,16,syn_t002_h0000003_r001,0,
24hh_seed7201,16,syn_t002_h0000004_r001,0,
24hh_seed7201,16,syn_t002_h0000009_r002,0,
24hh_seed7201,16,syn_t002_h0000011_r001,0,
24hh_seed7201,16,syn_t002_h0000012_r001,0,
24hh_seed7201,17,syn_t001_h0000002_r002,0,
24hh_seed7201,17,syn_t001_h0000005_r001,0,
24hh_seed7201,17,syn_t001_h0000007_r001,0,
24hh_seed7201,17,syn_t002_h0000001_r001,0,
24hh_seed7201,17,syn_t002_h0000003_r001,0,
24hh_seed7201,17,syn_t002_h0000004_r001,0,
24hh_seed7201,17,syn_t002_h0000009_r002,0,
24hh_seed7201,17,syn_t002_h0000011_r001,0,
24hh_seed7201,17,syn_t002_h0000012_r001,0,
