run,message_id,household_id,issued_step,expected_formed_step,expected_stage,expected_feasible,recorded_feasible,oracle_reasons,record_consistency_errors,planned_departure_step,route_id,terminal_commitment_status,terminal_step,outside_window
24hh_seed7201,m8:syn_t002_h0000013_r001:0,syn_t002_h0000013,8,,invalid_membership,False,False,invalid_travelers,,10,tiger_primary,not_formed,,False
24hh_seed7201,m8:syn_t002_h0000014_r001:1,syn_t002_h0000014,8,,declined,False,False,,,10,tiger_primary,not_formed,,False
24hh_seed7201,m7:syn_t002_h0000013_r001:0,syn_t002_h0000013,7,8,feasible_agreement,True,True,,,9,tiger_primary,cancelled,9,False
24hh_seed7201,m7:syn_t002_h0000014_r001:0,syn_t002_h0000014,7,8,feasible_agreement,True,True,,,9,tiger_primary,rejected,9,False
24hh_seed7201,m9:syn_t002_h0000009_r001:0,syn_t002_h0000009,9,,declined,False,False,,,11,tiger_primary,not_formed,,False
24hh_seed7201,m8:syn_t002_h0000009_r001:0,syn_t002_h0000009,8,9,feasible_agreement,True,True,,,10,tiger_primary,rejected,10,False
24hh_seed7201,m10:syn_t002_h0000013_r001:0,syn_t002_h0000013,10,,declined,False,False,,,12,tiger_primary,not_formed,,False
24hh_seed7201,m9:syn_t002_h0000013_r001:0,syn_t002_h0000013,9,10,feasible_agreement,True,True,,,11,tiger_primary,rejected,11,False
24hh_seed7201,m11:syn_t002_h0000009_r002:0,syn_t002_h0000009,11,,pending_response,False,False,,,13,tiger_alternate,not_formed,,False
24hh_seed7201,m11:syn_t002_h0000014_r001:0,syn_t002_h0000014,11,,declined,False,False,,,13,tiger_alternate,not_formed,,False
24hh_seed7201,m10:syn_t002_h0000014_r001:0,syn_t002_h0000014,10,11,feasible_agreement,True,True,,,12,tiger_alternate,executed,12,False
24hh_seed7201,m12:syn_t002_h0000009_r002:1,syn_t002_h0000009,12,,pending_response,False,False,,,14,tiger_alternate,not_formed,,False
24hh_seed7201,m12:syn_t002_h0000013_r003:0,syn_t002_h0000013,12,13,feasible_agreement,True,True,,,14,tiger_alternate,executed,14,False
24hh_seed7201,m12:syn_t002_h0000013_r001:1,syn_t002_h0000013,12,13,resource_conflict,False,False,active_party_resource_conflict,,14,tiger_alternate,not_formed,,False
24hh_seed7201,m15:syn_t002_h0000009_r002:1,syn_t002_h0000009,15,,pending_response,False,False,,,17,tiger_alternate,not_formed,,False
24hh_seed7201,m23:syn_t001_h0000009_r001:1,syn_t001_h0000009,23,,invalid_membership,False,False,invalid_travelers,,25,tiger_primary,not_formed,,False
