run,step,decisions,departure_attempts,executed_parties,moved_members,state_conflicts,reasons
24hh_seed7201,1,0,0,0,0,0,
24hh_seed7201,2,0,0,0,0,0,
24hh_seed7201,3,5,1,1,1,0,
24hh_seed7201,4,4,0,0,0,0,
24hh_seed7201,5,4,0,0,0,0,
24hh_seed7201,6,4,1,1,1,0,
24hh_seed7201,7,15,6,5,7,0,
24hh_seed7201,8,12,0,0,0,0,
24hh_seed7201,9,13,3,0,0,0,
24hh_seed7201,10,14,3,0,0,0,
24hh_seed7201,11,14,3,1,1,0,
24hh_seed7201,12,13,2,1,2,0,
24hh_seed7201,13,11,0,0,0,0,
24hh_seed7201,14,11,2,1,3,0,
24hh_seed7201,15,9,0,0,0,0,
24hh_seed7201,16,9,0,0,0,0,
24hh_seed7201,17,9,0,0,0,0,
24hh_seed7201,18,10,0,0,0,0,
24hh_seed7201,19,11,0,0,0,0,
24hh_seed7201,20,12,2,0,0,0,
24hh_seed7201,21,12,2,2,4,0,
24hh_seed7201,22,12,0,0,0,0,
24hh_seed7201,23,12,0,0,0,0,
24hh_seed7201,24,14,1,0,0,0,
24hh_seed7201,25,17,2,1,3,0,
24hh_seed8301,1,0,0,0,0,0,
24hh_seed8301,2,0,0,0,0,0,
24hh_seed8301,3,5,0,0,0,0,
24hh_seed8301,4,5,0,0,0,0,
24hh_seed8301,5,6,1,1,3,0,
24hh_seed8301,6,5,2,1,2,0,
24hh_seed8301,7,15,8,8,10,0,
24hh_seed8301,8,8,0,0,0,0,
24hh_seed8301,9,8,2,0,0,0,
24hh_seed8301,10,8,1,1,1,0,
24hh_seed8301,11,7,1,0,0,0,
24hh_seed8301,12,8,1,0,0,0,
24hh_seed8301,13,8,1,1,1,0,
24hh_seed8301,14,7,0,0,0,0,
24hh_seed8301,15,7,0,0,0,0,
24hh_seed8301,16,7,0,0,0,0,
24hh_seed8301,17,7,0,0,0,0,
24hh_seed8301,18,7,0,0,0,0,
24hh_seed8301,19,8,0,0,0,0,
24hh_seed8301,20,8,1,0,0,0,
24hh_seed8301,21,9,1,1,1,0,
24hh_seed8301,22,8,0,0,0,0,
24hh_seed8301,23,8,0,0,0,0,
24hh_seed8301,24,12,0,0,0,0,
24hh_seed8301,25,17,1,0,0,0,
24hh_seed9401,1,0,0,0,0,0,
24hh_seed9401,2,0,0,0,0,0,
24hh_seed9401,3,5,0,0,0,0,
24hh_seed9401,4,5,0,0,0,0,
24hh_seed9401,5,6,0,0,0,0,
24hh_seed9401,6,6,2,1,2,0,
24hh_seed9401,7,16,6,6,10,0,
24hh_seed9401,8,11,0,0,0,0,
24hh_seed9401,9,11,2,0,0,0,
24hh_seed9401,10,11,1,1,1,0,
24hh_seed9401,11,10,1,1,1,0,
24hh_seed9401,12,9,1,0,0,0,
24hh_seed9401,13,10,1,1,1,0,
24hh_seed9401,14,9,0,0,0,0,
24hh_seed9401,15,9,0,0,0,0,
24hh_seed9401,16,9,0,0,0,0,
24hh_seed9401,17,9,0,0,0,0,
24hh_seed9401,18,9,0,0,0,0,
24hh_seed9401,19,9,0,0,0,0,
24hh_seed9401,20,9,0,0,0,0,
24hh_seed9401,21,9,1,0,0,0,
24hh_seed9401,22,9,0,0,0,0,
24hh_seed9401,23,9,0,0,0,0,
24hh_seed9401,24,14,1,0,0,0,
24hh_seed9401,25,20,1,1,3,0,
